case_id,category,profile_index,profile_payload_hex,key_count,fidelity_unorm16,key_rate_uq8_8,qber_unorm16,expected_weight_uq16_16_hex,expected_feasible,terms_hex
77,finite_exact,0,13329,2,58982,2,0,00422AAA,1,8000:1AAAA:400000:0
78,finite_exact,0,13329,1024,32768,65535,32768,000400BE,1,40:2FFFD:80:10001
79,finite_exact,0,13329,15,65535,257,0,00021091,1,1111:18000:7F80:0
80,finite_exact,0,13329,4,32768,127,1,00044203,1,4000:2FFFD:10204:2
81,finite_exact,0,13329,31,2,128,32767,C0014841,1,842:BFFF4000:10000:FFFF
82,finite_exact,0,13329,65535,2,257,65535,C001BF81,1,1:BFFF4000:7F80:20000
83,finite_exact,0,13329,15,32768,1024,65535,0005310E,1,1111:2FFFD:2000:20000
84,finite_saturation,0,13329,4,1,1,65535,FFFFFFFE,1,4000:17FFE8000:800000:20000
85,finite_exact,0,13329,8,32767,65535,32768,00042084,1,2000:30003:80:10001
86,finite_exact,0,13329,7,3,128,65534,8002A490,1,2492:7FFF8000:10000:1FFFE
87,finite_exact,0,13329,3,2,256,32768,C0011556,1,5555:BFFF4000:8000:10001
88,finite_exact,0,13329,2,65534,257,2,00027F86,1,8000:18002:7F80:4
89,finite_exact,0,13329,31,3,1024,1,7FFFA844,1,842:7FFF8000:2000:2
90,finite_exact,0,13329,2,2,128,65534,C002BFFE,1,8000:BFFF4000:10000:1FFFE
91,finite_exact,0,13329,8,65535,255,2,00022085,1,2000:18000:8081:4
92,finite_exact,0,13329,8,2,2,65535,C0416000,1,2000:BFFF4000:400000:20000
93,finite_exact,0,13329,2,65534,256,65535,00048002,1,8000:18002:8000:20000
94,finite_exact,0,13329,8,32768,127,32767,00052200,1,2000:2FFFD:10204:FFFF
95,finite_exact,0,13329,255,65534,255,2,00020188,1,101:18002:8081:4
96,finite_exact,0,13329,65535,65535,3,0,002C2AAC,1,1:18000:2AAAAB:0
97,finite_exact,0,13329,65535,32768,2,32768,0043FFFF,1,1:2FFFD:400000:10001
98,finite_exact,0,13329,1024,65534,128,65535,00048042,1,40:18002:10000:20000
99,finite_exact,0,13329,65535,32768,1,0,0082FFFE,1,1:2FFFD:800000:0
100,finite_exact,0,13329,15,65534,256,32768,00031114,1,1111:18002:8000:10001
101,finite_exact,0,13329,16,65535,1024,0,0001B000,1,1000:18000:2000:0
102,finite_exact,0,13329,31,65535,256,65535,00040842,1,842:18000:8000:20000
103,finite_exact,0,13329,1,2,257,32768,C001BF81,1,10000:BFFF4000:7F80:10001
104,finite_exact,0,13329,255,3,128,65534,800280FF,1,101:7FFF8000:10000:1FFFE
105,finite_exact,0,13329,2,32767,255,2,00040088,1,8000:30003:8081:4
106,finite_saturation,0,13329,31,1,1,1,FFFFFFFE,1,842:17FFE8000:800000:2
107,finite_exact,0,13329,7,58982,2,32767,0042CF3B,1,2492:1AAAA:400000:FFFF
108,finite_exact,0,13329,3,65534,257,32768,000354D8,1,5555:18002:7F80:10001
109,finite_exact,0,13329,65535,3,1024,65535,8001A001,1,1:7FFF8000:2000:20000
110,finite_exact,0,13329,2,3,65535,2,80000084,1,8000:7FFF8000:80:4
111,finite_saturation,0,13329,1024,1,127,2,FFFFFFFE,1,40:17FFE8000:10204:4
112,finite_exact,0,13329,4,65534,1,65535,0083C002,1,4000:18002:800000:20000
113,finite_exact,0,13329,1024,32767,1,32767,00840042,1,40:30003:800000:FFFF
114,finite_saturation,0,13329,1024,1,2,2,FFFFFFFE,1,40:17FFE8000:400000:4
115,finite_exact,0,13329,16,65534,3,0,002C3AAD,1,1000:18002:2AAAAB:0
116,finite_exact,0,13329,255,65534,257,32767,00030082,1,101:18002:7F80:FFFF
117,finite_exact,0,13329,8,32768,127,32767,00052200,1,2000:2FFFD:10204:FFFF
118,finite_exact,0,13329,31,58982,256,32767,000332EB,1,842:1AAAA:8000:FFFF
119,finite_exact,0,13329,1,3,128,65534,80037FFE,1,10000:7FFF8000:10000:1FFFE
120,finite_exact,0,13329,3,65535,3,1,002C8002,1,5555:18000:2AAAAB:2
121,finite_exact,0,13329,2,32767,1,32768,00848004,1,8000:30003:800000:10001
122,finite_exact,0,13329,16,3,255,1,80001083,1,1000:7FFF8000:8081:2
123,finite_exact,0,13329,4,2,257,1,BFFFFF82,1,4000:BFFF4000:7F80:2
124,finite_exact,0,13329,15,32768,3,65535,002FBBB9,1,1111:2FFFD:2AAAAB:20000
125,finite_exact,0,13329,15,58982,65535,0,0001BC3B,1,1111:1AAAA:80:0
126,finite_exact,0,13329,8,65535,1024,32767,0002BFFF,1,2000:18000:2000:FFFF
127,finite_exact,0,13329,1024,65535,65535,65534,000380BE,1,40:18000:80:1FFFE
128,finite_exact,0,13329,7,3,255,2,80002517,1,2492:7FFF8000:8081:4
129,finite_exact,0,13329,1,65535,255,32768,00040082,1,10000:18000:8081:10001
130,finite_exact,0,13329,1,58982,257,2,00032A2E,1,10000:1AAAA:7F80:4
131,finite_exact,0,13329,7,3,3,65535,802C4F3D,1,2492:7FFF8000:2AAAAB:20000
132,finite_exact,0,13329,3,2,65535,2,BFFF95D9,1,5555:BFFF4000:80:4
133,finite_exact,0,13329,8,32768,1024,32768,00043FFE,1,2000:2FFFD:2000:10001
134,finite_exact,0,13329,8,32767,1024,65535,00054003,1,2000:30003:2000:20000
135,finite_exact,0,13329,31,32768,257,2,000387C3,1,842:2FFFD:7F80:4
136,finite_exact,0,13329,15,65535,1,1,00819113,1,1111:18000:800000:2
137,finite_exact,0,13329,2,2,1024,32768,C000E001,1,8000:BFFF4000:2000:10001
138,finite_exact,0,13329,15,65534,3,32767,002D3BBD,1,1111:18002:2AAAAB:FFFF
139,finite_exact,0,13329,8,32767,255,2,0003A088,1,2000:30003:8081:4
140,finite_exact,0,13329,2,58982,255,65535,0004AB2B,1,8000:1AAAA:8081:20000
141,finite_exact,0,13329,2,2,255,65535,C0024081,1,8000:BFFF4000:8081:20000
142,finite_exact,0,13329,8,2,256,65535,C001E000,1,2000:BFFF4000:8000:20000
143,finite_exact,0,13329,16,32768,255,65535,0005907E,1,1000:2FFFD:8081:20000
144,finite_exact,0,13329,8,2,127,32767,C0016203,1,2000:BFFF4000:10204:FFFF
145,finite_exact,0,13329,7,32767,1024,32767,00044494,1,2492:30003:2000:FFFF
146,finite_saturation,0,13329,255,1,1,1,FFFFFFFE,1,101:17FFE8000:800000:2
147,finite_exact,0,13329,255,3,65535,65534,8001817F,1,101:7FFF8000:80:1FFFE
148,finite_exact,0,13329,7,65534,2,32767,0042A493,1,2492:18002:400000:FFFF
149,finite_exact,0,13329,31,58982,128,65534,0004B2EA,1,842:1AAAA:10000:1FFFE
150,finite_exact,0,13329,255,65535,127,65535,00048305,1,101:18000:10204:20000
151,finite_exact,0,13329,1024,58982,3,65535,002E5595,1,40:1AAAA:2AAAAB:20000
152,finite_exact,0,13329,1024,32767,256,1,00038045,1,40:30003:8000:2
153,finite_exact,0,13329,255,65535,65535,32768,00028182,1,101:18000:80:10001
154,finite_exact,0,13329,255,65534,3,1,002C2BB0,1,101:18002:2AAAAB:2
155,finite_exact,0,13329,2,32768,1024,2,0003A001,1,8000:2FFFD:2000:4
156,finite_exact,0,13329,255,65535,2,1,00418103,1,101:18000:400000:2
157,finite_exact,0,13329,8,65535,3,2,002C4AAF,1,2000:18000:2AAAAB:4
158,finite_exact,0,13329,2,32767,127,65534,00068205,1,8000:30003:10204:1FFFE
159,finite_exact,0,13329,8,3,2,32768,8040A001,1,2000:7FFF8000:400000:10001
160,finite_exact,0,13329,31,32768,257,32768,000487C0,1,842:2FFFD:7F80:10001
161,finite_exact,0,13329,1024,3,256,0,80000040,1,40:7FFF8000:8000:0
162,finite_saturation,0,13329,31,1,127,2,FFFFFFFE,1,842:17FFE8000:10204:4
163,finite_exact,0,13329,1024,65535,127,0,00028244,1,40:18000:10204:0
164,finite_exact,0,13329,1024,3,257,0,7FFFFFC0,1,40:7FFF8000:7F80:0
165,finite_exact,0,13329,15,2,3,2,C029FBC0,1,1111:BFFF4000:2AAAAB:4
166,finite_saturation,0,13329,65535,1,1,32767,FFFFFFFE,1,1:17FFE8000:800000:FFFF
167,finite_exact,0,13329,16,32767,128,2,00041007,1,1000:30003:10000:4
168,finite_exact,0,13329,4,32768,128,32767,00053FFC,1,4000:2FFFD:10000:FFFF
169,finite_exact,0,13329,3,3,255,32767,800155D5,1,5555:7FFF8000:8081:FFFF
170,finite_exact,0,13329,15,32767,256,1,00039116,1,1111:30003:8000:2
171,finite_exact,0,13329,15,2,2,32768,C0405112,1,1111:BFFF4000:400000:10001
172,finite_exact,0,13329,7,2,1,32767,C0806491,1,2492:BFFF4000:800000:FFFF
173,finite_saturation,0,13329,8,1,65535,65535,FFFFFFFE,1,2000:17FFE8000:80:20000
174,finite_exact,0,13329,31,3,257,65534,800207C0,1,842:7FFF8000:7F80:1FFFE
175,finite_saturation,0,13329,2,1,256,65534,FFFFFFFE,1,8000:17FFE8000:8000:1FFFE
176,finite_exact,0,13329,15,65534,3,2,002C3BC2,1,1111:18002:2AAAAB:4
177,finite_exact,0,13329,1024,65534,65535,2,000180C6,1,40:18002:80:4
178,finite_exact,0,13329,4,65534,255,1,00024085,1,4000:18002:8081:2
179,finite_exact,0,13329,255,65534,127,32768,00038308,1,101:18002:10204:10001
180,finite_exact,0,13329,4,32768,128,1,00043FFF,1,4000:2FFFD:10000:2
181,finite_exact,0,13329,65535,32768,256,32768,00047FFF,1,1:2FFFD:8000:10001
182,finite_exact,0,13329,16,65534,1024,1,0001B004,1,1000:18002:2000:2
183,finite_exact,0,13329,255,58982,255,1,00022C2E,1,101:1AAAA:8081:2
184,finite_exact,0,13329,1,65534,2,0,00428002,1,10000:18002:400000:0
185,finite_exact,0,13329,15,3,257,2,80001095,1,1111:7FFF8000:7F80:4
186,finite_exact,0,13329,3,2,128,32767,C0019554,1,5555:BFFF4000:10000:FFFF
187,finite_exact,0,13329,31,65535,1024,32767,0002A841,1,842:18000:2000:FFFF
188,finite_exact,0,13329,2,65535,256,65535,00048000,1,8000:18000:8000:20000
189,finite_saturation,0,13329,15,1,65535,32768,FFFFFFFE,1,1111:17FFE8000:80:10001
190,finite_exact,0,13329,1,32768,2,65535,0045FFFD,1,10000:2FFFD:400000:20000
191,finite_exact,0,13329,1024,3,257,1,7FFFFFC2,1,40:7FFF8000:7F80:2
192,finite_exact,0,13329,2,32768,127,32768,00058202,1,8000:2FFFD:10204:10001
193,finite_exact,0,13329,16,2,1,65534,C0814FFE,1,1000:BFFF4000:800000:1FFFE
194,finite_exact,0,13329,16,58982,256,65534,00043AA8,1,1000:1AAAA:8000:1FFFE
195,finite_exact,0,13329,1024,58982,65535,65534,0003AB68,1,40:1AAAA:80:1FFFE
196,finite_saturation,0,13329,65535,1,255,65534,FFFFFFFE,1,1:17FFE8000:8081:1FFFE
197,finite_exact,0,13329,31,32767,127,32768,00050A4A,1,842:30003:10204:10001
198,finite_exact,0,13329,4,2,128,1,C0008002,1,4000:BFFF4000:10000:2
199,finite_exact,0,13329,1,32768,257,32768,00057F7E,1,10000:2FFFD:7F80:10001
200,finite_saturation,0,13329,3,1,128,65535,FFFFFFFE,1,5555:17FFE8000:10000:20000
201,finite_exact,0,13329,31,3,255,65535,800208C3,1,842:7FFF8000:8081:20000
202,finite_exact,0,13329,7,2,255,2,BFFFE517,1,2492:BFFF4000:8081:4
203,finite_exact,0,13329,16,3,257,65534,80020F7E,1,1000:7FFF8000:7F80:1FFFE
204,finite_saturation,0,13329,3,1,65535,2,FFFFFFFE,1,5555:17FFE8000:80:4
205,finite_exact,0,13329,31,3,3,2,802A32F1,1,842:7FFF8000:2AAAAB:4
206,finite_saturation,0,13329,7,1,128,0,FFFFFFFE,1,2492:17FFE8000:10000:0
207,finite_exact,0,13329,1,2,1,32768,C0814001,1,10000:BFFF4000:800000:10001
208,finite_exact,0,13329,15,2,255,65534,C001D190,1,1111:BFFF4000:8081:1FFFE
209,finite_saturation,0,13329,1024,1,128,0,FFFFFFFE,1,40:17FFE8000:10000:0
210,finite_exact,0,13329,255,65534,257,1,00020085,1,101:18002:7F80:2
211,finite_saturation,0,13329,31,1,256,2,FFFFFFFE,1,842:17FFE8000:8000:4
212,finite_exact,0,13329,255,2,1,65534,C08140FF,1,101:BFFF4000:800000:1FFFE
213,finite_exact,0,13329,16,2,255,65534,C001D07F,1,1000:BFFF4000:8081:1FFFE
214,finite_exact,0,13329,1024,58982,1024,1,0001CAEC,1,40:1AAAA:2000:2
215,finite_exact,0,13329,1,2,256,2,C000C004,1,10000:BFFF4000:8000:4
216,finite_exact,0,13329,15,2,1,65534,C081510F,1,1111:BFFF4000:800000:1FFFE
217,finite_exact,0,13329,255,32767,255,65534,00058183,1,101:30003:8081:1FFFE
218,finite_exact,0,13329,7,2,256,32767,C000E491,1,2492:BFFF4000:8000:FFFF
219,finite_exact,0,13329,15,32767,256,32768,00049115,1,1111:30003:8000:10001
220,finite_exact,0,13329,31,58982,255,32768,0003336E,1,842:1AAAA:8081:10001
221,finite_exact,0,13329,1,65534,2,32767,00438001,1,10000:18002:400000:FFFF
222,finite_exact,0,13329,3,32768,2,32767,00445551,1,5555:2FFFD:400000:FFFF
223,finite_exact,0,13329,16,3,2,2,803F9004,1,1000:7FFF8000:400000:4
224,finite_exact,0,13329,8,32767,1,32767,00842002,1,2000:30003:800000:FFFF
225,finite_exact,0,13329,65535,58982,127,65535,0004ACAF,1,1:1AAAA:10204:20000
226,finite_exact,0,13329,255,3,127,32768,80018306,1,101:7FFF8000:10204:10001
227,finite_exact,0,13329,3,65534,3,65534,002E8000,1,5555:18002:2AAAAB:1FFFE
228,finite_exact,0,13329,16,65534,257,1,00020F84,1,1000:18002:7F80:2
229,finite_saturation,0,13329,15,1,257,32768,FFFFFFFE,1,1111:17FFE8000:7F80:10001
230,finite_exact,0,13329,1,65535,65535,65534,0004807E,1,10000:18000:80:1FFFE
231,finite_exact,0,13329,8,32767,256,32767,0004A002,1,2000:30003:8000:FFFF
232,finite_exact,0,13329,3,58982,257,32767,00037F7E,1,5555:1AAAA:7F80:FFFF
233,finite_exact,0,13329,16,58982,2,32767,0042BAA9,1,1000:1AAAA:400000:FFFF
234,finite_exact,0,13329,15,32768,127,0,00041312,1,1111:2FFFD:10204:0
235,finite_exact,0,13329,8,32767,255,2,0003A088,1,2000:30003:8081:4
236,finite_exact,0,13329,8,2,255,1,BFFFE083,1,2000:BFFF4000:8081:2
237,finite_exact,0,13329,8,58982,1024,32768,0002EAAB,1,2000:1AAAA:2000:10001
238,finite_saturation,0,13329,255,1,2,0,FFFFFFFE,1,101:17FFE8000:400000:0
239,finite_exact,0,13329,31,3,65535,2,7FFF88C6,1,842:7FFF8000:80:4
240,finite_exact,0,13329,3,58982,255,65535,00048080,1,5555:1AAAA:8081:20000
241,finite_exact,0,13329,15,32767,255,32767,00049194,1,1111:30003:8081:FFFF
242,finite_exact,0,13329,15,65535,128,1,00029113,1,1111:18000:10000:2
243,finite_exact,0,13329,7,32767,255,32767,0004A515,1,2492:30003:8081:FFFF
244,finite_exact,0,13329,31,32767,65535,1,000308C7,1,842:30003:80:2
245,finite_exact,0,13329,15,65535,257,2,00021095,1,1111:18000:7F80:4
246,finite_exact,0,13329,15,32768,257,2,00039092,1,1111:2FFFD:7F80:4
247,finite_exact,0,13329,31,2,257,32768,C000C7C3,1,842:BFFF4000:7F80:10001
248,finite_exact,0,13329,15,65534,1,65535,00839113,1,1111:18002:800000:20000
249,finite_exact,0,13329,31,32768,255,2,000388C4,1,842:2FFFD:8081:4
250,finite_exact,0,13329,8,65535,1,2,0081A004,1,2000:18000:800000:4
251,finite_exact,0,13329,3,65535,3,65535,002E8000,1,5555:18000:2AAAAB:20000
252,finite_exact,0,13329,3,58982,1024,65535,00041FFF,1,5555:1AAAA:2000:20000
253,finite_exact,0,13329,255,2,3,0,C029EBAC,1,101:BFFF4000:2AAAAB:0
254,finite_exact,0,13329,255,32767,1024,65534,00052102,1,101:30003:2000:1FFFE
255,finite_exact,0,13329,15,32767,257,65535,00059094,1,1111:30003:7F80:20000
256,finite_exact,0,13329,255,32767,255,65535,00058185,1,101:30003:8081:20000
257,finite_exact,0,13329,15,3,1,32768,80809112,1,1111:7FFF8000:800000:10001
258,finite_exact,0,13329,8,2,1024,0,BFFF8000,1,2000:BFFF4000:2000:0
259,finite_exact,0,13329,16,3,1024,0,7FFFB000,1,1000:7FFF8000:2000:0
260,finite_exact,0,13329,31,2,2,2,C03F4846,1,842:BFFF4000:400000:4
261,finite_exact,0,13329,255,65535,3,1,002C2BAE,1,101:18000:2AAAAB:2
262,finite_exact,0,13329,1,32768,256,1,00047FFF,1,10000:2FFFD:8000:2
263,finite_exact,0,13329,3,3,1024,65535,8001F555,1,5555:7FFF8000:2000:20000
264,finite_exact,1,1B516,16,65535,256,0,00029800,1,1800:18000:10000:0
265,finite_exact,1,1B516,15,64225,384,328,00024EAA,1,199A:187D5:AAAB:290
266,finite_exact,1,1B516,14,62914,512,655,0002308B,1,1B6E:18FFF:8000:51E
267,finite_exact,1,1B516,13,61603,640,983,00022421,1,1D8A:19883:6666:7AE
268,finite_exact,1,1B516,12,60292,768,1311,000220F8,1,2000:1A165:5555:A3E
269,finite_exact,1,1B516,11,58982,896,1638,00022384,1,22E9:1AAAA:4925:CCC
270,finite_exact,1,1B516,10,57671,1024,1966,00022A1F,1,2666:1B45D:4000:F5C
271,finite_exact,1,1B516,9,56360,1152,2294,000233FE,1,2AAB:1BE83:38E4:11EC
272,finite_exact,1,1B516,8,55049,1280,2621,000240D2,1,3000:1C925:3333:147A
273,finite_exact,1,1B516,7,53739,1408,2949,000250BB,1,36DB:1D44A:2E8C:170A
274,finite_exact,1,1B516,6,52428,1536,3277,00026445,1,4000:1E000:2AAB:199A
275,finite_exact,1,1B516,5,51117,1664,3604,00027CA7,1,4CCD:1EC50:2762:1C28
276,infeasible_zero_key,1,1B516,0,65535,256,0,FFFFFFFF,0,
277,infeasible_zero_fidelity,1,1B516,1,0,256,0,FFFFFFFF,0,
278,infeasible_zero_rate,1,1B516,1,65535,0,0,FFFFFFFF,0,
279,infeasible_zero_key_fidelity_rate,1,1B516,0,0,0,65535,FFFFFFFF,0,
280,finite_saturation,1,1B516,1,1,1,65535,FFFFFFFE,1,18000:17FFE8000:1000000:20000
281,finite_exact,1,1B516,1,2,1,65534,C102BFFE,1,18000:BFFF4000:1000000:1FFFE
282,finite_exact,1,1B516,1,65535,1,0,01030000,1,18000:18000:1000000:0
283,finite_saturation,1,1B516,65535,1,65535,65535,FFFFFFFE,1,2:17FFE8000:100:20000
284,finite_exact,1,1B516,65535,65535,65535,0,00018102,1,2:18000:100:0
285,finite_exact,1,1B516,2,32768,128,32768,0006BFFE,1,C000:2FFFD:20000:10001
286,finite_exact,1,1B516,3,58982,256,6554,00035DDE,1,8000:1AAAA:10000:3334
287,finite_exact,1,1B516,16,65535,65535,65535,00039900,1,1800:18000:100:20000
288,finite_exact,1,1B516,4,32767,257,1,00045F06,1,6000:30003:FF01:2
289,finite_exact,1,1B516,8,65534,256,0,0002B002,1,3000:18002:10000:0
290,finite_exact,1,1B516,16,32768,1024,32767,000457FC,1,1800:2FFFD:4000:FFFF
291,finite_exact,1,1B516,1024,65534,128,65534,00058060,1,60:18002:20000:1FFFE
292,finite_exact,1,1B516,8,32768,1,32767,01042FFC,1,3000:2FFFD:1000000:FFFF
293,finite_exact,1,1B516,15,2,127,1,C0015DA4,1,199A:BFFF4000:20408:2
294,finite_exact,1,1B516,31,2,257,65534,C0024B62,1,C63:BFFF4000:FF01:1FFFE
295,finite_exact,1,1B516,16,65535,1024,32768,0002D801,1,1800:18000:4000:10001
296,finite_exact,1,1B516,1,65534,256,32768,00050003,1,18000:18002:10000:10001
297,finite_exact,1,1B516,1,3,65535,1,80010102,1,18000:7FFF8000:100:2
298,finite_exact,1,1B516,8,65535,65535,2,0001B104,1,3000:18000:100:4
299,finite_exact,1,1B516,1024,65535,1024,65535,0003C060,1,60:18000:4000:20000
300,finite_saturation,1,1B516,3,1,257,32768,FFFFFFFE,1,8000:17FFE8000:FF01:10001
301,finite_exact,1,1B516,2,3,257,32767,80023F00,1,C000:7FFF8000:FF01:FFFF
302,finite_exact,1,1B516,255,32768,127,1,00050589,1,182:2FFFD:20408:2
303,finite_exact,1,1B516,2,32768,256,65535,0006BFFD,1,C000:2FFFD:10000:20000
304,finite_saturation,1,1B516,1,1,127,2,FFFFFFFE,1,18000:17FFE8000:20408:4
305,finite_saturation,1,1B516,15,1,1,65535,FFFFFFFE,1,199A:17FFE8000:1000000:20000
306,finite_exact,1,1B516,1024,2,127,32768,C0024469,1,60:BFFF4000:20408:10001
