id,c0_valid,c0_cost,c0_fidelity,c0_utilization,c0_hops,c0_slot,c1_valid,c1_cost,c1_fidelity,c1_utilization,c1_hops,c1_slot,lambda0,lambda1,lambda2,no_path,selected_slot,selected_score
135,True,4233318608,62202,3627189766,5,0,False,3235707846,63696,1150837270,2,1,1,1,2,0,0,0
136,True,3264462618,63575,535490024,5,0,True,2799723373,62294,4262918281,1,1,1,1,2,0,0,65535
137,True,1009022353,63193,654004212,4,0,True,203142242,59763,1652318503,2,1,1,1,2,0,0,65535
138,True,3948584958,62640,4233381502,3,0,True,2771135555,59300,2413065424,5,1,1,1,2,0,1,65515
139,True,1292367358,63112,2729811860,3,0,True,3400813778,62135,1399865150,2,1,2,1,1,0,0,65535
140,True,3685308902,64496,3812867836,4,0,True,2942803992,59881,1548292213,3,1,2,1,1,0,1,65521
141,True,950252819,59916,1602982827,3,0,True,288623328,59451,177416754,1,1,1,1,2,0,1,65394
142,True,2854542482,59202,3527097281,3,0,True,1002617884,61071,1327511808,1,1,1,2,1,0,1,0
143,True,3926237894,62259,483519563,3,0,True,1556573486,64404,4082624735,5,1,1,2,1,0,1,65535
144,False,238114142,60345,1206172914,3,0,True,664822376,61112,1990153162,1,1,2,2,1,0,1,0
145,True,1035357694,64280,1020558405,5,0,True,44259152,63606,2299540998,1,1,1,1,2,0,0,65535
146,True,2820505589,62056,2972779492,4,0,True,3936033011,65325,3662859833,3,1,1,2,1,0,1,65535
147,True,2452198790,63407,3505673398,1,0,True,248099232,63271,1448455460,1,1,1,2,1,0,0,65535
148,False,2083019691,60297,1682007180,5,0,True,260632782,64457,1467521046,2,1,2,1,1,0,1,0
149,True,257800698,60469,3436319940,1,0,True,2010101573,61228,4058298043,5,1,2,1,1,0,0,65449
150,True,3732414627,64833,1254524552,2,0,True,3094327984,60161,996396127,2,1,2,2,1,0,1,131042
151,True,1050773678,61483,2269745972,4,0,True,610863591,63847,1401363210,5,1,1,1,2,0,1,0
152,True,734741697,61491,3570569122,3,0,True,628365448,65508,3676980704,2,1,1,2,1,0,1,65535
153,True,3824189913,63164,3860320994,1,0,True,2656903718,62719,2951332995,4,1,2,1,1,0,1,65388
154,True,3396607638,59248,125465323,2,0,False,2644587800,62810,1656594829,3,1,1,2,1,0,0,0
155,True,3879444345,59799,4261681649,2,0,True,974918561,62179,1611408055,3,1,1,2,1,0,1,0
156,False,1077330018,62142,1255071071,4,0,False,3555468333,65021,1727945469,1,1,1,2,1,1,0,0
157,True,539273231,60745,3492981698,4,0,True,300544397,65011,843660163,2,1,1,1,2,0,1,0
158,False,545007399,61930,3533811447,5,0,True,3349669526,62458,3333789854,1,1,2,1,1,0,1,0
159,True,822103622,61432,1912113463,3,0,True,1093443690,60229,1815073216,3,1,1,1,2,0,1,65535
160,True,1471243021,62241,4252513401,2,0,True,3902582329,60638,3520301640,2,1,1,2,1,0,0,65535
161,True,3198846641,63614,4046826951,4,0,True,260554132,65129,2785401465,1,1,2,1,1,0,1,0
162,True,448803127,60111,1211974715,2,0,False,2247843211,61044,16004118,3,1,2,1,1,0,0,0
163,True,2643407237,60977,3485898581,2,0,True,2963595250,64059,2606177995,4,1,1,2,1,0,1,65535
164,True,1873306100,60724,2027947780,2,0,True,2320721924,61605,461145524,5,1,1,2,1,0,1,65535
165,True,2845181737,64037,1054877197,4,0,False,523212759,60683,716424826,4,1,2,1,1,0,0,0
166,True,2953143007,62026,3098526555,4,0,True,2426180577,64049,711202202,2,1,2,2,1,0,1,0
167,True,1353188528,62928,4271235963,4,0,True,1757160393,61440,1139170939,4,1,1,1,2,0,1,65535
168,True,2750805892,63662,1004659150,3,0,True,3983700716,59799,3376782252,2,1,2,1,1,0,0,0
169,True,496470327,65069,3764074856,3,0,True,4019531752,64558,186551377,2,1,2,1,1,0,0,65535
170,True,1244590060,60693,63157441,3,0,True,4187741112,59744,1909698469,1,1,2,1,1,0,0,0
171,True,1052423872,63699,4191300360,3,0,True,1611647869,65242,1586504588,3,1,1,1,2,0,1,65535
172,False,247567426,60032,4016832904,5,0,True,1756667140,63184,2017878825,3,1,1,2,1,0,1,0
173,True,2353731673,65090,2434773207,3,0,True,332330505,59717,2284867680,4,1,2,2,1,0,1,131046
174,True,3669582599,62609,223640058,1,0,True,271282370,62140,1301480024,3,1,1,1,2,0,0,65535
175,True,1654555036,61304,1458788719,1,0,True,1191586213,61827,4165741688,3,1,2,1,1,0,1,65535
176,True,3341336185,63614,1671143003,4,0,True,57992887,59872,2944907073,3,1,2,1,1,0,1,65535
177,True,678171056,60261,941124889,5,0,True,217705754,64207,3438267154,3,1,1,2,1,0,1,65535
178,True,477115485,60826,1439707960,3,0,True,2552633064,63220,1783705984,3,1,1,2,1,0,1,65535
179,True,1405376378,62865,2540332862,3,0,False,3845427429,65137,263650484,2,1,2,1,1,0,0,0
180,True,2093587342,60731,25062721,5,0,True,4291062986,63345,3329589477,4,1,1,1,2,0,0,65510
181,True,2546850530,62761,696102573,5,0,True,4260885728,62488,3633574434,5,1,1,1,2,0,0,0
182,True,1889109537,60692,4225937316,5,0,True,1644626031,61973,2488472309,4,1,1,2,1,0,1,0
183,True,596414026,62059,3232170366,1,0,True,1969167827,61228,324791761,5,1,2,1,1,0,0,65535
184,True,3789016658,64883,288390114,5,0,True,1531109458,62263,4220389771,1,1,1,1,2,0,0,65535
185,True,164843126,60805,2085926219,4,0,True,746946947,62000,3868445904,5,1,2,1,1,0,0,65480
186,True,2995145528,61901,991478652,3,0,True,1371043204,65217,1298728946,3,1,2,2,1,0,1,65535
187,True,1413932173,63676,2118606464,1,0,True,4276646639,64587,2867758444,5,1,2,1,1,0,0,65463
188,True,2884539997,64128,2467093787,5,0,True,3057038120,64733,1600795239,3,1,1,2,1,0,1,65535
189,False,1636860660,64079,1778804420,5,0,True,3732546564,59332,1902580061,5,1,1,1,2,0,1,0
190,True,2482397968,62511,998813658,5,0,False,922500812,63342,3535579963,3,1,2,1,1,0,0,0
191,False,834492288,65165,112223515,2,0,False,2131674157,65248,2127765287,5,1,1,1,2,1,0,0
192,True,2926490569,59833,4289218428,4,0,True,94942207,62079,997725125,1,1,1,2,1,0,1,0
193,True,2688289092,64704,3934885623,4,0,True,4198283795,61955,3417964516,3,1,1,2,1,0,0,65535
194,True,315211381,60875,1447421047,2,0,True,1533247357,64379,526646471,2,1,2,1,1,0,0,65535
195,True,2234283015,63992,333387814,1,0,True,1942377735,63543,12712016,3,1,1,1,2,0,1,65389
196,True,412433483,61244,4105765235,2,0,True,1975294792,63753,486211771,2,1,2,2,1,0,0,131018
197,True,3167612669,61475,2313277481,1,0,True,2087752370,60026,2402564857,5,1,1,1,2,0,0,65535
198,True,979045019,59000,1193495165,3,0,True,1186249807,64819,3424388524,1,1,1,2,1,0,1,65535
199,True,685297428,64623,1325525049,2,0,True,3867422713,64301,4261774885,3,1,1,2,1,0,0,0
200,True,476621784,60430,3408763037,2,0,False,3104549469,61250,3348007348,5,1,1,2,1,0,0,0
201,True,695981631,61325,418060762,1,0,True,1321479576,59610,2059549269,4,1,2,2,1,0,0,0
202,True,3643407584,60392,1771050751,1,0,True,4037076017,65010,1939402534,1,1,1,2,1,0,1,65535
203,True,3932838041,65345,499976629,5,0,True,3576495852,59339,252709017,3,1,2,1,1,0,1,65524
204,True,3821275553,62086,1040439443,5,0,True,3620663755,61208,3312235831,5,1,2,1,1,0,1,65535
205,True,2018195550,61910,2463868688,1,0,True,3406566913,63467,3595962920,5,1,1,2,1,0,1,65535
206,True,3877929810,60551,2037485728,3,0,True,4214257639,64203,2189512078,1,1,1,2,1,0,1,65535
207,True,2874206297,59803,939669019,4,0,True,1004341959,64529,4126058931,2,1,2,2,1,0,1,65535
208,False,3688376365,59249,4089118872,4,0,True,1723182076,59020,2960506616,3,1,2,2,1,0,1,0
209,True,3451308732,60646,386933595,1,0,True,2239624644,62624,1128876976,2,1,1,2,1,0,1,65535
210,True,111547249,60980,503712496,3,0,False,1905615636,65513,3051150230,1,1,2,2,1,0,0,0
211,True,4021438001,65468,2641479054,2,0,True,3659075681,64681,3199400188,2,1,2,2,1,0,1,130904
212,True,1033532567,61231,3279761859,4,0,False,2344902096,63594,673536167,5,1,2,2,1,0,0,0
213,True,1745847121,62885,1137471349,5,0,True,570444217,63695,3725680552,5,1,1,2,1,0,1,65535
214,True,3613569384,59986,2468913369,4,0,True,3222100944,63475,2835698063,2,1,1,1,2,0,0,65535
215,True,667283153,59521,369227604,4,0,True,3823297020,64160,2782754174,4,1,1,2,1,0,1,65535
216,True,598832806,63320,2746016718,5,0,True,112193542,65390,3667625130,1,1,2,2,1,0,1,65535
217,True,1201103124,60975,2362412081,2,0,True,4084933422,63025,4153085966,3,1,1,1,2,0,0,65503
218,True,3650412538,64271,1410269147,4,0,False,2143478918,61397,3883837537,4,1,2,2,1,0,0,0
219,False,3873987361,59246,3075175454,5,0,True,2960372015,60470,2142274496,2,1,1,1,2,0,1,0
220,True,4257080843,62693,784270496,3,0,True,547427061,58995,2730948355,4,1,2,2,1,0,1,131034
221,True,3400508923,59199,2105549472,3,0,True,3410712884,61833,2914565741,5,1,1,2,1,0,1,65535
222,True,3327928659,59577,1966002505,2,0,True,1264598509,65465,718213861,4,1,2,1,1,0,1,0
223,True,1902953128,64658,2587611046,4,0,True,189995861,60274,1140511254,2,1,1,1,2,0,1,65520
224,True,2487583510,63395,1367176381,5,0,True,4118275388,64874,2688562008,5,1,2,2,1,0,0,130982
225,True,3553073889,59853,467400797,1,0,True,4002838410,62413,770940962,4,1,2,1,1,0,0,65509
226,False,979838345,62863,1002182305,2,0,False,754907781,62590,3764448589,3,1,1,2,1,1,0,0
227,True,3918689795,63030,3148541781,3,0,False,2904326002,63823,2341346922,5,1,2,1,1,0,0,0
228,True,558542784,62224,2136922383,4,0,False,1422048248,63222,1640005887,1,1,1,2,1,0,0,0
229,True,2442173925,63733,321727030,2,0,True,423561641,61130,3643100491,2,1,2,2,1,0,1,131020
230,True,680421912,60164,2165060593,4,0,True,573562760,65004,1212022812,2,1,1,2,1,0,1,0
231,True,2634095625,62368,2939294783,4,0,True,513207973,59652,673640467,1,1,2,2,1,0,1,131022
232,True,1208988658,65533,2315811098,3,0,True,3586217507,62987,3448562350,5,1,2,2,1,0,0,0
233,False,2222360129,62487,687075094,2,0,True,3256570589,62441,1450966960,4,1,1,2,1,0,1,0
234,True,1103468711,63866,2930033965,4,0,True,2962911258,60644,3240338023,3,1,1,2,1,0,0,0
235,True,3532172108,59275,2280746650,3,0,False,1565501063,61460,2327988163,3,1,1,1,2,0,0,0
236,True,1651099451,65072,1242427974,2,0,False,720528020,61803,601804146,3,1,1,2,1,0,0,0
237,True,3600891499,63921,2063783431,5,0,True,1248704669,59261,4239647938,3,1,1,1,2,0,0,65535
238,True,3094201550,59992,987503013,2,0,True,4051445784,63689,1903547313,5,1,2,1,1,0,0,65517
239,True,466390386,65254,701033216,4,0,True,3309576384,63531,1052435935,4,1,2,1,1,0,0,0
240,True,2738592896,61691,3189545733,3,0,True,2149787414,63527,3927918820,2,1,1,2,1,0,1,65535
241,True,2166704424,63059,1269645304,2,0,True,2870821788,59089,3966127673,3,1,2,1,1,0,0,0
242,True,3181365731,60276,3938273326,5,0,False,1829013729,63404,2848185053,2,1,2,2,1,0,0,0
243,True,1940175490,61195,2633765696,1,0,True,1912880987,59006,607732514,4,1,2,2,1,0,1,131010
244,True,2235832813,65272,2669358021,3,0,True,1119488210,59535,2518735470,5,1,1,1,2,0,1,65524
245,True,1793866298,60240,817563694,2,0,True,1099220823,65198,2670036976,2,1,2,1,1,0,1,65535
246,True,552074418,59022,495911913,3,0,True,1911791309,62425,1478943263,4,1,1,2,1,0,1,65535
247,False,736030834,62616,3650415717,4,0,True,2027219255,64407,3124179291,4,1,1,1,2,0,1,0
248,True,1384006255,61581,1837761051,4,0,True,715201895,61098,3215994875,5,1,1,1,2,0,0,65535
249,True,4039036203,64495,2164741964,2,0,True,36981918,59124,1842166751,1,1,2,2,1,0,1,131046
250,True,2341930960,64356,1472973733,2,0,False,1757224800,61107,1557947430,2,1,1,1,2,0,0,0
251,True,2436213890,61108,3416520347,2,0,True,1760252399,61608,2246869778,3,1,1,2,1,0,1,0
252,True,3064562622,62877,2835538298,2,0,True,1164582480,65352,3005178787,4,1,1,2,1,0,1,65535
253,True,1445766980,61120,323106646,5,0,True,1567942476,62473,1818233513,1,1,2,2,1,0,0,130974
254,True,2325423836,60599,1587500590,5,0,True,4263017909,64656,1233519924,1,1,2,1,1,0,0,65535
255,False,1308453786,62670,1934824836,1,0,True,2421556151,64297,734224871,4,1,1,2,1,0,1,0
256,True,770827980,59773,2082615316,4,0,True,2397586995,60394,3992621927,4,1,1,2,1,0,1,65535
257,True,2700912860,62147,1434522049,1,0,True,2737719260,62666,1923631123,3,1,2,1,1,0,0,65409
258,True,1550164290,60434,2873923938,4,0,False,3085343488,59766,510533996,5,1,1,2,1,0,0,0
259,True,3372999790,62511,2352095510,3,0,True,4103678051,64169,3149166972,2,1,1,1,2,0,0,65495
260,True,1317188448,62520,1078353377,5,0,False,1931983239,61097,294044135,3,1,1,2,1,0,0,0
261,True,1671359610,62435,1702664580,4,0,True,3700940872,59854,3907367300,4,1,2,1,1,0,0,0
262,True,2227173183,63166,4032332830,1,0,True,399328452,64387,2293081208,3,1,1,2,1,0,1,0
263,True,1311296207,62599,346344146,2,0,True,3504777897,59763,2023703943,2,1,2,1,1,0,0,0
264,True,763215205,64016,1240843536,5,0,False,1488237881,63653,1241931757,1,1,2,1,1,0,0,0
265,False,3606561987,60094,1264787836,4,0,True,3618371842,62504,2871779694,2,1,2,2,1,0,1,0
266,True,1008147427,64803,1686618585,4,0,True,639501561,61990,2016969323,1,1,2,2,1,0,1,131024
267,True,173599042,65070,3112865616,5,0,True,3764063853,59602,427213112,2,1,2,1,1,0,0,65535
