test_id,src_node,dst_node,time_now,f_min_q016,key_counts,f_init_q016,decay_idx,arrival_rate_q8_8,qber_q016,distance_cost_q16_16,candidate_paths,candidate_lens,expected_selected_path_id,expected_best_weight,expected_bottleneck_fidelity,expected_valid_path,tolerance,intent
T011_invalid_edge_id,0,5,1340,45874,8|8|8|8|0|0|0|0,64224|64224|64224|64224|58982|58982|58982|58982,0|0|0|0|0|0|0|0,1500|1500|1500|1500|0|0|0|0,655|655|655|655|6554|6554|6554|6554,655360|720896|786432|851968|6488064|6488064|6488064|6488064,9-0-0-0|1-0-0-0|2-0-0-0|3-0-0-0,1|1|1|1,1,744990,64223,1,0,candidate with edge ID >= NUM_EDGES must be invalid
T012_zero_length_candidate,0,5,1442,45874,8|8|8|8|0|0|0|0,64224|64224|64224|64224|58982|58982|58982|58982,0|0|0|0|0|0|0|0,1500|1500|1500|1500|0|0|0|0,655|655|655|655|6554|6554|6554|6554,655360|589824|720896|786432|6488064|6488064|6488064|6488064,0-0-0-0|1-0-0-0|2-0-0-0|3-0-0-0,0|1|1|1,1,613918,64223,1,0,zero-length candidate is invalid
T013_arrival_bucket_penalty,0,5,1459,45874,8|8|8|8|0|0|0|0,64224|64224|64224|64224|58982|58982|58982|58982,0|0|0|0|0|0|0|0,300|700|1500|1024|0|0|0|0,655|655|655|655|6554|6554|6554|6554,655360|655360|655360|655360|6488064|6488064|6488064|6488064,0-0-0-0|1-0-0-0|2-0-0-0|3-0-0-0,1|1|1|1,2,679454,64223,1,0,high arrival-rate bucket should win; tie with edge3 resolved by earlier edge2
T014_decay_zero_boundary,0,5,1408,45874,8|8|8|8|0|0|0|0,63569|63569|63569|63569|58982|58982|58982|58982,0|1|2|3|0|0|0|0,1500|1500|1500|1500|0|0|0|0,655|655|655|655|6554|6554|6554|6554,655360|655360|655360|655360|6488064|6488064|6488064|6488064,0-0-0-0|1-0-0-0|2-0-0-0|3-0-0-0,1|1|1|1,0,684694,63568,1,0,decay_idx=0 should preserve maximum fidelity
T015_decay_max_boundary,0,5,1391,32768,8|8|8|8|0|0|0|0,64880|64880|64880|64880|58982|58982|58982|58982,255|128|64|0|0|0|0|0,1500|1500|1500|1500|0|0|0|0,655|655|655|655|6554|6554|6554|6554,655360|720896|786432|851968|6488064|6488064|6488064|6488064,0-0-0-0|1-0-0-0|2-0-0-0|3-0-0-0,1|1|1|1,3,870814,64879,1,0,maximum decay should be avoided under fidelity threshold
R000_seeded_random,5,0,2000,47678,3|8|1|10|6|10|5|15,61762|62952|60302|63747|59407|64157|64157|59470,3|12|8|5|4|1|2|2,1800|512|300|511|1500|511|1200|1800,1311|1311|3277|3277|3277|1311|1311|1966,969744|402548|487806|939251|1823150|1402875|436881|2184547,6-0-0-0|4-4-0-0|7-0-0-0|1-1-0-0,1|2|2|2,0,498023,60268,1,0,random valid-biased regression
R001_seeded_random,0,5,2001,51558,7|4|7|8|3|7|3|0,53854|45133|57909|48755|51068|51375|61672|55854,255|1|32|255|8|128|1|1,1024|128|1023|700|511|128|511|300,6554|9830|1311|3277|655|328|9830|6554,2689083|2503004|341873|537666|1884550|2905004|3614369|2959123,10-1-0-5|3-0-0-0|10-6-0-0|0-0-0-0,4|1|2|0,0,4294967295,0,0,0,random mixed valid/invalid regression
R002_seeded_random,1,6,2002,56762,2|1|2|0|2|2|1|2,39550|52629|57188|53619|53350|59490|45182|38758,16|0|64|8|16|0|16|64,512|1200|512|300|511|511|0|900,655|9830|3277|9830|3277|6554|6554|9830,1793574|2855159|1239799|1727331|1489200|1223696|3158109|1754405,1-6-0-0|0-0-0-0|5-2-2-1|5-4-6-0,2|0|4|4,0,4294967295,0,0,0,random invalid/no-path stress regression
R003_seeded_random,0,7,2003,62375,4|0|4|7|7|2|1|8,44990|45346|58446|64866|47596|53851|57086|56366,128|1|8|16|8|0|16|3,1024|512|0|511|700|700|1600|700,655|9830|3277|6554|6554|6554|9830|328,3329086|1461613|2504541|2192141|1967395|678100|3178243|460189,3-0-0-0|4-0-0-0|4-4-3-0|5-9-0-0,1|1|4|2,0,4294967295,0,0,0,random high-threshold regression
R004_seeded_random,5,2,2004,51614,10|6|10|15|12|4|15|5,64941|61194|61434|61069|64568|60971|62562|63276,4|2|4|3|1|3|12|5,300|511|1024|300|1800|1024|700|1023,655|328|3277|1311|328|5243|3277|5243,2120254|778125|528760|636979|700779|1847665|2073285|1123282,4-0-0-0|4-7-4-4|6-0-0-0|5-3-0-0,1|4|1|2,0,737363,62580,1,0,random low-threshold arithmetic regression
R005_seeded_random,7,5,2005,49528,15|6|5|2|4|10|8|2,63295|60954|59057|61961|62125|63235|64074|61339,2|5|0|1|8|3|1|4,512|1200|512|1200|700|300|1800|300,1311|1966|5243|328|655|1311|655|3277,1143769|1853459|843140|1507545|960863|1875281|960303|1880915,0-1-0-0|2-1-5-0|0-1-0-0|3-7-6-2,2|3|2|4,0,3196462,52135,1,0,random valid-biased regression
R006_seeded_random,4,0,2006,52395,1|0|1|3|7|1|3|2,44164|59504|57338|45491|51662|51542|62643|44067,8|128|8|8|0|64|255|16,1600|300|1024|700|1600|700|1600|1023,655|655|3277|9830|655|1311|6554|328,3384622|874157|2565957|2246488|891283|1878909|1779056|3192057,1-0-0-0|3-5-0-0|0-2-5-0|4-0-0-0,1|2|3|1,0,4294967295,0,0,0,random mixed valid/invalid regression
R007_seeded_random,0,2,2007,62918,1|0|2|1|0|3|0|3,50636|60610|44511|53775|38767|55528|51294|45697,0|128|64|64|0|0|255|64,900|512|0|100|900|300|900|512,3277|655|6554|655|655|655|9830|3277,1533662|1406807|1833634|2621005|2964969|890486|1976427|920993,15-0-0-0|3-1-9-0|0-0-0-0|4-6-2-0,1|3|0|3,0,4294967295,0,0,0,random invalid/no-path stress regression
R008_seeded_random,3,4,2008,62242,7|7|2|2|0|7|7|15,51990|53506|57683|64908|57195|43394|53032|62092,16|8|8|64|0|255|64|32,0|128|512|1600|128|128|300|700,655|9830|328|655|9830|655|328|328,2376709|451750|1924274|3775334|2782897|146892|1792078|3924834,2-3-0-0|0-7-7-0|2-4-0-0|1-0-0-0,2|3|2|1,0,4294967295,0,0,0,random high-threshold regression
R009_seeded_random,3,4,2009,46523,6|15|15|10|6|1|12|10,60921|59017|61443|59237|60396|61964|60851|61288,8|0|0|12|12|1|3|1,1800|700|1800|1200|1800|1024|1023|700,328|5243|1311|1966|1311|655|655|5243,380506|1756301|1471944|582773|1975893|1039081|1949489|914669,7-7-6-0|7-6-2-0|6-1-0-0|3-2-0-0,3|3|3|2,0,4041741,55404,1,0,random low-threshold arithmetic regression
R010_seeded_random,2,1,2010,55970,8|3|8|12|8|4|12|6,61922|63582|59005|61248|63286|60818|64952|59470,1|4|4|0|4|1|8|4,1800|511|1023|1800|1023|300|1024|1023,1311|3277|3277|1311|1966|655|3277|655,1858348|592682|2123909|1375716|1777564|676700|1559035|591725,2-2-0-0|5-5-0-0|6-0-0-0|0-1-2-4,3|2|1|4,1,1543364,58946,1,0,random valid-biased regression
R011_seeded_random,6,0,2011,51228,2|1|15|8|15|7|1|0,64154|55804|57845|62334|54005|63346|62645|49292,128|1|2|2|8|128|8|64,511|512|700|300|1024|128|512|0,328|3277|328|328|328|328|655|328,352393|1787751|1813049|3615138|2669753|213252|2654573|548077,0-10-5-0|4-0-0-0|3-0-0-0|0-0-0-0,3|1|2|0,0,4294967295,0,0,0,random mixed valid/invalid regression
R012_seeded_random,0,6,2012,62506,1|1|1|0|0|3|0|0,40753|52409|54911|45303|55405|56869|60318|46259,16|8|2|8|255|0|0|32,0|511|0|300|1200|100|511|100,6554|3277|9830|655|3277|9830|9830|9830,933155|3258851|1040363|1073246|1966035|521573|3256362|947769,9-4-0-0|0-0-0-0|3-0-0-0|0-4-1-0,2|0|1|3,0,4294967295,0,0,0,random invalid/no-path stress regression
R013_seeded_random,1,4,2013,59654,3|0|2|0|4|0|8|4,47667|51413|50886|55656|54018|62229|57006|58428,8|2|255|32|0|0|8|64,512|512|0|128|300|300|1023|0,6554|9830|6554|655|6554|328|328|1311,426322|2347397|1408909|191434|3023033|379904|2622307|1035641,5-0-6-6|10-0-0-0|3-6-0-0|1-0-0-0,4|1|2|1,0,4294967295,0,0,0,random high-threshold regression
R014_seeded_random,0,6,2014,43945,2|1|3|2|15|12|5|2,63728|61834|61435|64618|61201|59984|59674|64202,3|0|2|0|3|1|8|2,700|300|1500|300|700|1200|511|300,328|5243|1966|1311|1311|328|655|655,674018|494191|1272997|1835663|1875338|711652|450682|434401,0-0-0-0|6-0-0-0|3-0-0-0|7-0-0-0,1|1|1|1,3,526663,60310,1,0,random low-threshold arithmetic regression
R015_seeded_random,4,4,2015,54241,1|10|6|8|5|6|15|15,59490|60806|64761|60008|60616|59546|59399|60050,8|12|5|5|3|1|1|2,1500|1200|1500|1200|511|1800|512|1023,655|655|3277|328|1966|3277|3277|3277,600135|545979|799723|1480740|2063366|805225|1606518|674448,3-3-3-0|2-5-0-0|2-0-5-7|4-5-6-2,3|2|4|4,1,1794544,55392,1,0,random valid-biased regression
R016_seeded_random,4,7,2016,51174,3|8|7|15|15|1|0|4,53884|47260|44064|46609|51145|56559|43273|45482,8|32|8|2|3|3|255|64,300|512|128|300|1023|0|0|700,9830|328|328|1311|3277|3277|655|328,1947822|67578|2068156|1666412|2972092|3014832|2400030|2617388,1-0-7-6|7-2-0-0|3-0-10-0|0-0-0-0,4|2|3|0,0,4294967295,0,0,0,random mixed valid/invalid regression
R017_seeded_random,5,5,2017,59164,1|0|0|0|0|1|1|0,53100|48122|43034|42626|57416|38393|56785|55361,128|64|8|0|64|32|0|255,512|300|512|300|511|511|0|0,6554|3277|3277|6554|9830|6554|655|9830,2838210|3224124|2006384|2763971|979902|3045819|2525333|1482271,6-3-0-0|3-0-0-0|7-10-0-0|3-1-2-2,2|1|2|4,0,4294967295,0,0,0,random invalid/no-path stress regression
R018_seeded_random,7,7,2018,59109,2|4|0|1|1|0|3|0,53155|53476|45433|48402|51149|47561|54192|65078,128|8|64|0|0|32|1|1,1024|512|512|1023|0|512|512|1600,3277|6554|655|6554|9830|9830|3277|655,2079194|3438895|3448483|778013|1422955|896649|623570|1861292,2-0-0-0|0-0-0-0|0-3-1-0|5-1-0-0,1|1|3|3,0,4294967295,0,0,0,random high-threshold regression
R019_seeded_random,6,3,2019,51868,2|10|15|1|3|4|8|4,61226|61202|59614|60144|60515|59019|65058|60131,8|12|1|12|3|12|0|8,1023|512|511|300|700|1024|700|1023,1311|1966|3277|655|655|5243|1311|5243,566944|1597699|1920885|1505606|2176453|2024983|1792767|2228148,6-1-4-0|5-0-0-0|0-7-2-0|6-0-0-0,3|1|3|1,3,1819693,65057,1,0,random low-threshold arithmetic regression
R020_seeded_random,7,3,2020,57485,12|8|10|12|12|2|4|3,59197|63980|63737|61957|61179|63384|61832|59031,12|3|12|3|5|0|0|5,511|511|1023|1500|1800|300|512|512,3277|1966|1311|5243|655|1966|1311|3277,1965844|1687293|1214918|778233|583568|1311317|1115397|1792115,2-4-0-0|4-4-0-0|5-4-4-5|3-0-0-0,2|2|4|1,0,4294967295,0,0,0,random valid-biased regression
R021_seeded_random,0,3,2021,51576,1|1|1|3|1|7|8|15,45117|57601|60357|58534|52106|42765|60274|47059,128|255|2|0|1|64|255|3,700|700|0|0|128|512|511|511,3277|9830|9830|328|328|6554|6554|9830,448653|869858|1700628|2872088|2298925|1458192|2770261|80379,6-3-0-0|1-3-0-0|3-4-2-1|5-2-0-0,2|2|4|2,0,4294967295,0,0,0,random mixed valid/invalid regression
R022_seeded_random,1,4,2022,56484,3|0|3|0|3|3|0|0,44883|42760|38958|52858|55896|52466|58883|51989,0|64|16|255|8|2|32|2,512|1200|900|0|511|0|512|900,9830|655|3277|3277|655|9830|3277|655,2009923|1858476|3242097|976058|1818290|2203720|2087170|866808,4-0-10-5|2-7-3-0|0-15-0-0|0-0-0-0,4|3|2|0,0,4294967295,0,0,0,random invalid/no-path stress regression
R023_seeded_random,6,2,2023,60541,2|1|0|15|1|4|8|4,45156|49219|44830|48097|50453|51200|44722|43776,32|32|32|64|0|128|16|2,1023|512|512|1600|1023|0|700|512,328|6554|6554|655|655|1311|6554|3277,1963336|822101|1967218|1725943|1611777|3412415|2347445|1149305,3-4-1-5|3-0-0-0|5-0-0-0|2-4-2-2,4|1|1|4,0,4294967295,0,0,0,random high-threshold regression
R024_seeded_random,5,3,2024,43910,15|8|8|10|6|4|10|10,60281|59257|60927|62008|60930|60516|59543|63514,8|3|3|2|4|2|5|1,1200|1200|700|300|1023|511|1024|1023,328|328|3277|1311|1311|655|328|655,2072497|1957959|769642|595967|740924|1190101|2196484|1211591,0-5-5-6|1-2-0-0|5-7-0-0|4-0-5-7,4|2|2|4,2,2567056,56848,1,0,random low-threshold arithmetic regression
R025_seeded_random,4,4,2025,48606,15|5|3|8|6|15|12|2,65009|64847|62216|60059|59883|61550|64779|63408,1|4|5|3|3|0|0|2,511|1024|1800|1200|1200|1024|1500|1023,655|1966|1311|1966|655|328|5243|1311,1350602|1618789|724122|1768927|1139829|365142|1388529|1508351,1-7-2-4|4-2-0-0|7-7-3-0|2-1-0-0,4|2|3|2,1,2095507,53215,1,0,random valid-biased regression
R026_seeded_random,0,7,2026,49241,1|15|7|2|7|15|4|4,51909|61718|45589|48245|46328|45751|54268|62808,128|255|32|3|32|2|1|32,511|512|300|1023|1023|700|0|512,328|655|9830|655|1311|9830|328|9830,1706349|2549765|888624|2517701|2052724|1189150|2659522|605153,0-5-0-0|7-15-0-0|7-5-15-0|1-4-5-2,2|2|3|4,0,4294967295,0,0,0,random mixed valid/invalid regression
R027_seeded_random,5,5,2027,56678,3|0|2|3|1|2|0|0,49371|58772|37352|35962|38845|60444|60249|53542,128|64|255|64|16|64|0|16,0|900|300|1200|300|0|0|511,9830|6554|6554|655|6554|655|9830|655,1036316|1140492|999079|2481276|1096270|540331|2866320|1436658,1-9-1-0|0-7-4-9|2-2-7-7|4-7-9-0,3|4|4|3,0,4294967295,0,0,0,random invalid/no-path stress regression
R028_seeded_random,1,3,2028,63167,8|15|2|0|0|1|1|4,53515|50520|52872|57082|51494|45126|52651|49129,1|3|3|16|2|128|128|128,1600|300|1600|0|700|511|1024|700,9830|6554|3277|1311|6554|6554|9830|1311,665449|2402202|758683|2249751|1395526|1257315|399237|2592473,1-5-0-0|5-0-0-0|4-0-0-0|5-0-0-0,2|2|1|1,0,4294967295,0,0,0,random high-threshold regression
R029_seeded_random,3,6,2029,50335,5|6|12|15|15|12|15|4,60457|63061|63283|60623|63461|64322|65118|64556,4|5|8|4|5|2|3|12,700|511|1023|1023|511|700|1200|512,328|1966|5243|1966|655|1966|5243|655,2134254|1171117|1663677|1392964|852672|768935|339232|1062577,4-0-0-0|0-0-0-0|7-5-0-0|7-0-0-0,1|1|2|1,0,980886,54280,1,0,random low-threshold arithmetic regression
R030_seeded_random,2,5,2030,50259,6|8|1|4|10|6|2|4,62210|60056|62738|65092|59473|64202|62584|62536,1|8|1|1|4|4|3|2,512|300|512|300|1200|1800|511|1023,1311|655|655|655|1966|1311|1311|1966,878981|454582|1690915|1205818|902609|2150965|510590|521534,2-4-5-7|8-7-0-0|4-2-0-0|6-0-3-1,4|3|2|4,2,2802446,52483,1,0,random valid-biased regression
R031_seeded_random,7,1,2031,50009,8|15|4|2|8|0|15|4,49174|65062|59782|56609|64967|54155|53099|56125,3|16|16|1|0|8|64|1,128|128|1600|511|1600|511|512|1600,655|6554|9830|655|328|1311|3277|328,3122893|1166955|1470925|2101656|481282|2768558|806195|632032,3-3-3-0|0-5-3-0|3-7-0-0|4-9-3-2,4|3|3|4,0,4294967295,0,0,0,random mixed valid/invalid regression
R032_seeded_random,5,6,2032,63505,0|0|2|0|3|0|1|0,48285|33919|37994|47793|54070|44385|59239|48042,2|0|0|2|32|32|8|2,1200|900|300|0|511|0|300|100,9830|9830|6554|6554|3277|655|655|9830,1448642|659628|2337631|1518644|1777443|1434267|797430|2202410,0-0-0-0|6-2-7-2|3-2-1-6|0-0-0-0,0|4|4|1,0,4294967295,0,0,0,random invalid/no-path stress regression
R033_seeded_random,2,0,2033,59466,2|8|3|7|2|4|3|7,49518|45537|57599|62455|50026|49258|62979|48331,1|2|2|128|2|128|1|255,511|300|300|512|300|511|511|1024,1311|1311|655|9830|1311|9830|655|655,201972|172255|1252308|701897|630881|389066|466727|1051645,0-6-1-5|5-0-4-0|1-8-3-7|2-0-0-0,4|3|4|1,0,4294967295,0,0,0,random high-threshold regression
R034_seeded_random,7,6,2034,44898,15|1|6|10|10|5|4|8,63633|64520|60054|64599|59940|59889|65030|63438,1|4|0|3|1|4|8|12,1023|700|511|700|1023|1800|1024|700,1966|3277|655|1311|1311|3277|328|328,1988678|1662199|1088088|2100883|1335670|738920|785874|1982485,7-3-0-0|7-7-0-0|6-6-0-0|0-2-0-0,3|2|3|3,2,3888062,50644,1,0,random low-threshold arithmetic regression
R035_seeded_random,7,1,2035,49283,15|1|4|2|4|2|6|4,64969|62460|60724|61149|59073|64983|62189|61983,0|1|4|0|0|2|5|0,1800|1500|1200|1024|511|700|300|1023,1966|328|328|328|328|5243|1311|328,733760|1405949|1269120|534088|1793969|1106890|1205066|1258047,6-4-0-0|7-5-0-0|1-5-0-0|0-4-3-0,2|2|2|3,1,2497775,61044,1,0,random valid-biased regression
R036_seeded_random,0,1,2036,55183,1|2|1|15|0|3|7|3,47873|43245|44483|51693|45704|58717|54953|43984,0|64|128|8|64|8|16|3,300|128|0|1023|1024|511|1024|128,3277|328|3277|328|655|9830|9830|328,777897|1303906|1768703|1765899|2136548|1262460|3675735|2005663,5-4-1-0|0-4-6-0|8-0-0-0|4-0-0-0,3|3|3|1,0,4294967295,0,0,0,random mixed valid/invalid regression
R037_seeded_random,4,4,2037,59116,0|0|0|2|0|3|0|0,48882|47094|58734|38851|35687|59178|35089|34873,64|0|255|128|8|128|128|16,900|0|300|300|100|512|900|1200,6554|655|6554|3277|6554|3277|655|9830,1877662|655573|2013998|2909097|2292858|1222519|496507|810070,15-6-6-0|6-0-0-0|0-0-5-6|0-0-0-0,3|1|4|0,0,4294967295,0,0,0,random invalid/no-path stress regression
R038_seeded_random,5,2,2038,61690,8|8|0|15|2|2|0|2,54789|55435|51961|55556|50156|42612|59034|44014,2|3|64|1|255|128|32|8,512|1024|1600|1600|1023|1024|1024|700,655|3277|328|328|328|9830|328|1311,1807892|2290677|1443627|1751928|329122|166657|1227482|3410716,5-0-0-0|7-5-0-0|5-3-0-0|2-0-0-0,1|2|2|1,0,4294967295,0,0,0,random high-threshold regression
R039_seeded_random,0,2,2039,49505,2|2|8|12|3|3|15|2,64553|61892|60120|59501|63646|63082|63809|59804,4|8|5|2|1|2|0|1,300|1500|511|1800|512|1800|300|1024,1311|655|1966|5243|655|655|1966|5243,1058708|1110589|455110|1536427|1125391|1934452|1591515|2207418,1-4-0-2|0-0-0-0|7-0-0-0|2-7-6-4,4|1|1|4,1,1179034,56966,1,0,random low-threshold arithmetic regression
R040_seeded_random,2,6,2040,57528,1|2|1|1|3|4|1|8,60969|64386|64826|60743|59248|65181|61011|65049,1|0|5|1|0|8|0|4,512|511|300|512|1024|1023|300|1024,655|1311|5243|328|1966|1966|1311|328,1194029|1529063|915446|1682262|1400958|1749111|2257454|1484082,2-0-0-0|4-5-1-0|1-7-0-0|5-4-2-0,1|3|2|3,0,4294967295,0,0,0,random valid-biased regression
R041_seeded_random,7,0,2041,60106,3|15|4|0|0|3|1|8,51112|47199|49991|46487|51273|46465|49329|63978,16|3|1|16|8|0|16|8,511|511|700|512|1024|1023|511|1024,9830|3277|328|9830|9830|328|3277|3277,2489291|585402|1447094|1355619|2086025|347726|1429526|2419429,9-1-0-0|15-0-0-0|3-6-1-0|0-6-0-0,2|1|3|2,0,4294967295,0,0,0,random mixed valid/invalid regression
R042_seeded_random,2,4,2042,57837,0|1|0|2|2|0|2|2,42257|38516|39913|34289|45769|35092|32893|45683,128|64|0|8|0|0|8|32,300|100|511|900|512|511|100|0,3277|3277|3277|9830|6554|3277|655|655,2875056|2597824|2595372|1143313|2656668|1534728|389274|2249993,4-4-5-6|10-3-0-0|6-0-0-0|6-6-5-0,4|2|1|3,0,4294967295,0,0,0,random invalid/no-path stress regression
R043_seeded_random,3,7,2043,63332,15|3|2|15|3|3|15|8,47683|45883|55170|54220|63639|55005|50164|45975,16|255|2|1|0|128|32|255,1023|1024|512|1023|1024|700|1023|512,9830|9830|328|1311|1311|655|6554|3277,1343637|3207352|2088243|893571|871873|560598|1507393|1280244,2-0-0-0|1-4-5-0|5-0-0-0|9-5-7-0,1|3|1|3,0,4294967295,0,0,0,random high-threshold regression
R044_seeded_random,3,5,2044,49082,5|15|10|5|10|12|3|2,59714|62273|59013|60465|59376|64110|64969|64314,8|5|4|12|4|1|8|12,700|1500|512|1024|1024|1023|512|1024,1311|655|1311|3277|1966|5243|1966|3277,1487024|929752|453336|736796|1474953|1078097|1637347|1433525,5-0-0-0|1-0-0-0|3-0-0-0|6-6-0-0,1|1|1|3,1,1041518,53264,1,0,random low-threshold arithmetic regression
R045_seeded_random,4,5,2045,56741,8|12|12|3|8|6|2|4,64833|60713|63050|59595|60483|62626|62044|64528,8|4|8|0|3|8|12|0,512|1500|700|1800|1023|1023|700|1023,1966|1311|1311|1311|1311|3277|3277|1311,1353397|1302643|327994|1042024|1151163|1441456|964180|627528,5-7-3-2|6-3-0-0|5-1-8-0|6-0-0-0,4|2|3|1,0,4294967295,0,0,0,random valid-biased regression
R046_seeded_random,5,0,2046,60181,3|4|0|15|4|7|7|7,58559|54035|55351|48327|57108|56424|64023|49872,8|3|32|2|0|2|128|64,1600|1600|300|512|0|1023|700|0,328|6554|6554|6554|328|3277|9830|655,111107|3879373|3434310|869852|3114829|3650613|1317362|2524027,3-0-0-0|7-6-1-2|6-4-4-0|3-1-1-0,1|4|3|3,0,4294967295,0,0,0,random mixed valid/invalid regression
R047_seeded_random,1,7,2047,60343,1|3|0|2|1|1|3|1,39290|59465|41448|33209|48362|51548|41869|44494,128|16|0|2|8|0|16|16,511|0|100|1200|512|512|300|0,9830|655|3277|9830|3277|6554|6554|3277,1191947|2092464|402574|2372778|1979639|1244729|2502138|1794120,6-0-0-0|2-4-0-0|5-3-0-0|3-0-0-0,1|2|2|1,0,4294967295,0,0,0,random invalid/no-path stress regression
R048_seeded_random,4,7,2048,59633,8|8|4|2|1|3|7|2,50240|54159|64942|62921|53171|59786|52119|53661,64|0|1|128|8|32|0|1,300|511|511|512|0|300|300|1600,9830|9830|328|655|6554|655|655|328,633292|1895000|2162462|1371557|384260|2998876|3440599|1314963,7-0-0-0|2-4-0-0|0-0-4-0|5-0-0-0,1|3|3|1,0,4294967295,0,0,0,random high-threshold regression
R049_seeded_random,7,3,2049,45768,1|12|4|8|15|3|3|10,64077|61345|60458|59251|63748|59675|60662|59717,12|1|2|1|0|5|12|12,1024|511|512|1500|300|1500|1500|1500,3277|655|1966|328|1311|1311|1966|5243,568610|954020|1482417|1612009|1537376|1410899|2062494|2177873,4-0-0-0|7-6-0-0|5-7-5-0|6-4-4-0,1|2|3|3,0,1591166,63747,1,0,random low-threshold arithmetic regression
