replay_order,test_id,replay_id,sequence_class,seed,src,dst,min_key_occupancy_u16,bottleneck_fidelity_state_u16,offered_request_load_u16,utilization_imbalance_state_u16,c0_valid,c0_cost,c0_fidelity,c0_utilization,c0_hops,c0_slot,c1_valid,c1_cost,c1_fidelity,c1_utilization,c1_hops,c1_slot,input_valid,expected_status,held_out
74,1054,B054,mixed,26072026,0,4,38809,63136,2100,7801,1,8585,61827,30030,4,0,1,12088,64712,8102,2,1,1,0,1
75,1055,B055,mixed,26072026,5,1,43146,62247,64933,7294,0,10756,61020,23559,2,0,0,8567,60678,54541,4,1,1,1,1
76,1056,B056,mixed,26072026,0,2,20983,57414,59675,5274,1,48668,59367,24100,2,0,1,53161,58982,36425,4,1,1,0,1
77,1057,B057,mixed,26072026,4,5,14160,64690,14160,20896,1,21640,64570,43947,1,0,1,13825,63931,35316,5,1,1,0,1
78,1058,B058,mixed,26072026,1,0,52159,59683,54140,34178,1,49703,61413,14430,5,0,1,61804,58982,45352,1,1,1,0,1
79,1059,B059,mixed,26072026,0,1,8626,56791,14869,24344,0,514,58982,55854,1,0,1,1,58982,78206,5,1,1,0,1
80,1060,B060,mixed,26072026,0,1,17030,56025,25792,38402,1,15551,58982,6250,1,0,1,28650,58982,52526,5,1,1,0,1
81,1061,B061,mixed,26072026,0,2,28894,64084,4631,3592,1,15442,63990,67690,2,0,1,14348,64427,55322,4,1,1,0,1
82,1062,B062,mixed,26072026,4,1,42791,61767,48200,4551,1,5436,62081,5991,3,0,1,8561,62965,10862,3,1,1,0,1
83,1063,B063,mixed,26072026,0,3,60606,62599,54448,15772,1,33288,63277,58682,3,0,1,26328,63930,58278,3,1,1,0,1
