case_id,category,rst,en,min_key_occupancy_u16,bottleneck_fidelity_u16,offered_request_load_u16,utilization_imbalance_u16,expected_valid,expected_state_id,notes
68,all_256_states,0,1,0,62914,49151,32768,1,63,representative lower-edge code for bins 0/3/3/3
69,all_256_states,0,1,16384,0,0,0,1,64,representative lower-edge code for bins 1/0/0/0
70,all_256_states,0,1,16384,0,0,8192,1,65,representative lower-edge code for bins 1/0/0/1
71,all_256_states,0,1,16384,0,0,16384,1,66,representative lower-edge code for bins 1/0/0/2
72,all_256_states,0,1,16384,0,0,32768,1,67,representative lower-edge code for bins 1/0/0/3
73,all_256_states,0,1,16384,0,16384,0,1,68,representative lower-edge code for bins 1/0/1/0
74,all_256_states,0,1,16384,0,16384,8192,1,69,representative lower-edge code for bins 1/0/1/1
75,all_256_states,0,1,16384,0,16384,16384,1,70,representative lower-edge code for bins 1/0/1/2
76,all_256_states,0,1,16384,0,16384,32768,1,71,representative lower-edge code for bins 1/0/1/3
77,all_256_states,0,1,16384,0,32768,0,1,72,representative lower-edge code for bins 1/0/2/0
78,all_256_states,0,1,16384,0,32768,8192,1,73,representative lower-edge code for bins 1/0/2/1
79,all_256_states,0,1,16384,0,32768,16384,1,74,representative lower-edge code for bins 1/0/2/2
80,all_256_states,0,1,16384,0,32768,32768,1,75,representative lower-edge code for bins 1/0/2/3
81,all_256_states,0,1,16384,0,49151,0,1,76,representative lower-edge code for bins 1/0/3/0
82,all_256_states,0,1,16384,0,49151,8192,1,77,representative lower-edge code for bins 1/0/3/1
83,all_256_states,0,1,16384,0,49151,16384,1,78,representative lower-edge code for bins 1/0/3/2
84,all_256_states,0,1,16384,0,49151,32768,1,79,representative lower-edge code for bins 1/0/3/3
85,all_256_states,0,1,16384,58982,0,0,1,80,representative lower-edge code for bins 1/1/0/0
86,all_256_states,0,1,16384,58982,0,8192,1,81,representative lower-edge code for bins 1/1/0/1
87,all_256_states,0,1,16384,58982,0,16384,1,82,representative lower-edge code for bins 1/1/0/2
88,all_256_states,0,1,16384,58982,0,32768,1,83,representative lower-edge code for bins 1/1/0/3
89,all_256_states,0,1,16384,58982,16384,0,1,84,representative lower-edge code for bins 1/1/1/0
90,all_256_states,0,1,16384,58982,16384,8192,1,85,representative lower-edge code for bins 1/1/1/1
91,all_256_states,0,1,16384,58982,16384,16384,1,86,representative lower-edge code for bins 1/1/1/2
92,all_256_states,0,1,16384,58982,16384,32768,1,87,representative lower-edge code for bins 1/1/1/3
93,all_256_states,0,1,16384,58982,32768,0,1,88,representative lower-edge code for bins 1/1/2/0
94,all_256_states,0,1,16384,58982,32768,8192,1,89,representative lower-edge code for bins 1/1/2/1
95,all_256_states,0,1,16384,58982,32768,16384,1,90,representative lower-edge code for bins 1/1/2/2
96,all_256_states,0,1,16384,58982,32768,32768,1,91,representative lower-edge code for bins 1/1/2/3
97,all_256_states,0,1,16384,58982,49151,0,1,92,representative lower-edge code for bins 1/1/3/0
98,all_256_states,0,1,16384,58982,49151,8192,1,93,representative lower-edge code for bins 1/1/3/1
99,all_256_states,0,1,16384,58982,49151,16384,1,94,representative lower-edge code for bins 1/1/3/2
100,all_256_states,0,1,16384,58982,49151,32768,1,95,representative lower-edge code for bins 1/1/3/3
101,all_256_states,0,1,16384,60948,0,0,1,96,representative lower-edge code for bins 1/2/0/0
102,all_256_states,0,1,16384,60948,0,8192,1,97,representative lower-edge code for bins 1/2/0/1
103,all_256_states,0,1,16384,60948,0,16384,1,98,representative lower-edge code for bins 1/2/0/2
104,all_256_states,0,1,16384,60948,0,32768,1,99,representative lower-edge code for bins 1/2/0/3
105,all_256_states,0,1,16384,60948,16384,0,1,100,representative lower-edge code for bins 1/2/1/0
106,all_256_states,0,1,16384,60948,16384,8192,1,101,representative lower-edge code for bins 1/2/1/1
107,all_256_states,0,1,16384,60948,16384,16384,1,102,representative lower-edge code for bins 1/2/1/2
108,all_256_states,0,1,16384,60948,16384,32768,1,103,representative lower-edge code for bins 1/2/1/3
109,all_256_states,0,1,16384,60948,32768,0,1,104,representative lower-edge code for bins 1/2/2/0
110,all_256_states,0,1,16384,60948,32768,8192,1,105,representative lower-edge code for bins 1/2/2/1
111,all_256_states,0,1,16384,60948,32768,16384,1,106,representative lower-edge code for bins 1/2/2/2
112,all_256_states,0,1,16384,60948,32768,32768,1,107,representative lower-edge code for bins 1/2/2/3
113,all_256_states,0,1,16384,60948,49151,0,1,108,representative lower-edge code for bins 1/2/3/0
114,all_256_states,0,1,16384,60948,49151,8192,1,109,representative lower-edge code for bins 1/2/3/1
115,all_256_states,0,1,16384,60948,49151,16384,1,110,representative lower-edge code for bins 1/2/3/2
116,all_256_states,0,1,16384,60948,49151,32768,1,111,representative lower-edge code for bins 1/2/3/3
117,all_256_states,0,1,16384,62914,0,0,1,112,representative lower-edge code for bins 1/3/0/0
118,all_256_states,0,1,16384,62914,0,8192,1,113,representative lower-edge code for bins 1/3/0/1
119,all_256_states,0,1,16384,62914,0,16384,1,114,representative lower-edge code for bins 1/3/0/2
120,all_256_states,0,1,16384,62914,0,32768,1,115,representative lower-edge code for bins 1/3/0/3
121,all_256_states,0,1,16384,62914,16384,0,1,116,representative lower-edge code for bins 1/3/1/0
122,all_256_states,0,1,16384,62914,16384,8192,1,117,representative lower-edge code for bins 1/3/1/1
123,all_256_states,0,1,16384,62914,16384,16384,1,118,representative lower-edge code for bins 1/3/1/2
124,all_256_states,0,1,16384,62914,16384,32768,1,119,representative lower-edge code for bins 1/3/1/3
125,all_256_states,0,1,16384,62914,32768,0,1,120,representative lower-edge code for bins 1/3/2/0
126,all_256_states,0,1,16384,62914,32768,8192,1,121,representative lower-edge code for bins 1/3/2/1
127,all_256_states,0,1,16384,62914,32768,16384,1,122,representative lower-edge code for bins 1/3/2/2
128,all_256_states,0,1,16384,62914,32768,32768,1,123,representative lower-edge code for bins 1/3/2/3
129,all_256_states,0,1,16384,62914,49151,0,1,124,representative lower-edge code for bins 1/3/3/0
130,all_256_states,0,1,16384,62914,49151,8192,1,125,representative lower-edge code for bins 1/3/3/1
131,all_256_states,0,1,16384,62914,49151,16384,1,126,representative lower-edge code for bins 1/3/3/2
132,all_256_states,0,1,16384,62914,49151,32768,1,127,representative lower-edge code for bins 1/3/3/3
133,all_256_states,0,1,32768,0,0,0,1,128,representative lower-edge code for bins 2/0/0/0
134,all_256_states,0,1,32768,0,0,8192,1,129,representative lower-edge code for bins 2/0/0/1
135,all_256_states,0,1,32768,0,0,16384,1,130,representative lower-edge code for bins 2/0/0/2
136,all_256_states,0,1,32768,0,0,32768,1,131,representative lower-edge code for bins 2/0/0/3
137,all_256_states,0,1,32768,0,16384,0,1,132,representative lower-edge code for bins 2/0/1/0
138,all_256_states,0,1,32768,0,16384,8192,1,133,representative lower-edge code for bins 2/0/1/1
139,all_256_states,0,1,32768,0,16384,16384,1,134,representative lower-edge code for bins 2/0/1/2
140,all_256_states,0,1,32768,0,16384,32768,1,135,representative lower-edge code for bins 2/0/1/3
141,all_256_states,0,1,32768,0,32768,0,1,136,representative lower-edge code for bins 2/0/2/0
142,all_256_states,0,1,32768,0,32768,8192,1,137,representative lower-edge code for bins 2/0/2/1
143,all_256_states,0,1,32768,0,32768,16384,1,138,representative lower-edge code for bins 2/0/2/2
144,all_256_states,0,1,32768,0,32768,32768,1,139,representative lower-edge code for bins 2/0/2/3
145,all_256_states,0,1,32768,0,49151,0,1,140,representative lower-edge code for bins 2/0/3/0
146,all_256_states,0,1,32768,0,49151,8192,1,141,representative lower-edge code for bins 2/0/3/1
147,all_256_states,0,1,32768,0,49151,16384,1,142,representative lower-edge code for bins 2/0/3/2
148,all_256_states,0,1,32768,0,49151,32768,1,143,representative lower-edge code for bins 2/0/3/3
149,all_256_states,0,1,32768,58982,0,0,1,144,representative lower-edge code for bins 2/1/0/0
150,all_256_states,0,1,32768,58982,0,8192,1,145,representative lower-edge code for bins 2/1/0/1
151,all_256_states,0,1,32768,58982,0,16384,1,146,representative lower-edge code for bins 2/1/0/2
152,all_256_states,0,1,32768,58982,0,32768,1,147,representative lower-edge code for bins 2/1/0/3
153,all_256_states,0,1,32768,58982,16384,0,1,148,representative lower-edge code for bins 2/1/1/0
154,all_256_states,0,1,32768,58982,16384,8192,1,149,representative lower-edge code for bins 2/1/1/1
155,all_256_states,0,1,32768,58982,16384,16384,1,150,representative lower-edge code for bins 2/1/1/2
156,all_256_states,0,1,32768,58982,16384,32768,1,151,representative lower-edge code for bins 2/1/1/3
157,all_256_states,0,1,32768,58982,32768,0,1,152,representative lower-edge code for bins 2/1/2/0
158,all_256_states,0,1,32768,58982,32768,8192,1,153,representative lower-edge code for bins 2/1/2/1
159,all_256_states,0,1,32768,58982,32768,16384,1,154,representative lower-edge code for bins 2/1/2/2
160,all_256_states,0,1,32768,58982,32768,32768,1,155,representative lower-edge code for bins 2/1/2/3
161,all_256_states,0,1,32768,58982,49151,0,1,156,representative lower-edge code for bins 2/1/3/0
162,all_256_states,0,1,32768,58982,49151,8192,1,157,representative lower-edge code for bins 2/1/3/1
163,all_256_states,0,1,32768,58982,49151,16384,1,158,representative lower-edge code for bins 2/1/3/2
164,all_256_states,0,1,32768,58982,49151,32768,1,159,representative lower-edge code for bins 2/1/3/3
165,all_256_states,0,1,32768,60948,0,0,1,160,representative lower-edge code for bins 2/2/0/0
166,all_256_states,0,1,32768,60948,0,8192,1,161,representative lower-edge code for bins 2/2/0/1
167,all_256_states,0,1,32768,60948,0,16384,1,162,representative lower-edge code for bins 2/2/0/2
168,all_256_states,0,1,32768,60948,0,32768,1,163,representative lower-edge code for bins 2/2/0/3
169,all_256_states,0,1,32768,60948,16384,0,1,164,representative lower-edge code for bins 2/2/1/0
170,all_256_states,0,1,32768,60948,16384,8192,1,165,representative lower-edge code for bins 2/2/1/1
171,all_256_states,0,1,32768,60948,16384,16384,1,166,representative lower-edge code for bins 2/2/1/2
172,all_256_states,0,1,32768,60948,16384,32768,1,167,representative lower-edge code for bins 2/2/1/3
173,all_256_states,0,1,32768,60948,32768,0,1,168,representative lower-edge code for bins 2/2/2/0
174,all_256_states,0,1,32768,60948,32768,8192,1,169,representative lower-edge code for bins 2/2/2/1
175,all_256_states,0,1,32768,60948,32768,16384,1,170,representative lower-edge code for bins 2/2/2/2
176,all_256_states,0,1,32768,60948,32768,32768,1,171,representative lower-edge code for bins 2/2/2/3
177,all_256_states,0,1,32768,60948,49151,0,1,172,representative lower-edge code for bins 2/2/3/0
178,all_256_states,0,1,32768,60948,49151,8192,1,173,representative lower-edge code for bins 2/2/3/1
179,all_256_states,0,1,32768,60948,49151,16384,1,174,representative lower-edge code for bins 2/2/3/2
180,all_256_states,0,1,32768,60948,49151,32768,1,175,representative lower-edge code for bins 2/2/3/3
181,all_256_states,0,1,32768,62914,0,0,1,176,representative lower-edge code for bins 2/3/0/0
182,all_256_states,0,1,32768,62914,0,8192,1,177,representative lower-edge code for bins 2/3/0/1
183,all_256_states,0,1,32768,62914,0,16384,1,178,representative lower-edge code for bins 2/3/0/2
184,all_256_states,0,1,32768,62914,0,32768,1,179,representative lower-edge code for bins 2/3/0/3
185,all_256_states,0,1,32768,62914,16384,0,1,180,representative lower-edge code for bins 2/3/1/0
186,all_256_states,0,1,32768,62914,16384,8192,1,181,representative lower-edge code for bins 2/3/1/1
187,all_256_states,0,1,32768,62914,16384,16384,1,182,representative lower-edge code for bins 2/3/1/2
188,all_256_states,0,1,32768,62914,16384,32768,1,183,representative lower-edge code for bins 2/3/1/3
189,all_256_states,0,1,32768,62914,32768,0,1,184,representative lower-edge code for bins 2/3/2/0
190,all_256_states,0,1,32768,62914,32768,8192,1,185,representative lower-edge code for bins 2/3/2/1
191,all_256_states,0,1,32768,62914,32768,16384,1,186,representative lower-edge code for bins 2/3/2/2
192,all_256_states,0,1,32768,62914,32768,32768,1,187,representative lower-edge code for bins 2/3/2/3
193,all_256_states,0,1,32768,62914,49151,0,1,188,representative lower-edge code for bins 2/3/3/0
194,all_256_states,0,1,32768,62914,49151,8192,1,189,representative lower-edge code for bins 2/3/3/1
195,all_256_states,0,1,32768,62914,49151,16384,1,190,representative lower-edge code for bins 2/3/3/2
196,all_256_states,0,1,32768,62914,49151,32768,1,191,representative lower-edge code for bins 2/3/3/3
197,all_256_states,0,1,49151,0,0,0,1,192,representative lower-edge code for bins 3/0/0/0
198,all_256_states,0,1,49151,0,0,8192,1,193,representative lower-edge code for bins 3/0/0/1
199,all_256_states,0,1,49151,0,0,16384,1,194,representative lower-edge code for bins 3/0/0/2
200,all_256_states,0,1,49151,0,0,32768,1,195,representative lower-edge code for bins 3/0/0/3
201,all_256_states,0,1,49151,0,16384,0,1,196,representative lower-edge code for bins 3/0/1/0
202,all_256_states,0,1,49151,0,16384,8192,1,197,representative lower-edge code for bins 3/0/1/1
203,all_256_states,0,1,49151,0,16384,16384,1,198,representative lower-edge code for bins 3/0/1/2
204,all_256_states,0,1,49151,0,16384,32768,1,199,representative lower-edge code for bins 3/0/1/3
205,all_256_states,0,1,49151,0,32768,0,1,200,representative lower-edge code for bins 3/0/2/0
206,all_256_states,0,1,49151,0,32768,8192,1,201,representative lower-edge code for bins 3/0/2/1
207,all_256_states,0,1,49151,0,32768,16384,1,202,representative lower-edge code for bins 3/0/2/2
208,all_256_states,0,1,49151,0,32768,32768,1,203,representative lower-edge code for bins 3/0/2/3
209,all_256_states,0,1,49151,0,49151,0,1,204,representative lower-edge code for bins 3/0/3/0
210,all_256_states,0,1,49151,0,49151,8192,1,205,representative lower-edge code for bins 3/0/3/1
211,all_256_states,0,1,49151,0,49151,16384,1,206,representative lower-edge code for bins 3/0/3/2
212,all_256_states,0,1,49151,0,49151,32768,1,207,representative lower-edge code for bins 3/0/3/3
213,all_256_states,0,1,49151,58982,0,0,1,208,representative lower-edge code for bins 3/1/0/0
214,all_256_states,0,1,49151,58982,0,8192,1,209,representative lower-edge code for bins 3/1/0/1
215,all_256_states,0,1,49151,58982,0,16384,1,210,representative lower-edge code for bins 3/1/0/2
216,all_256_states,0,1,49151,58982,0,32768,1,211,representative lower-edge code for bins 3/1/0/3
217,all_256_states,0,1,49151,58982,16384,0,1,212,representative lower-edge code for bins 3/1/1/0
218,all_256_states,0,1,49151,58982,16384,8192,1,213,representative lower-edge code for bins 3/1/1/1
219,all_256_states,0,1,49151,58982,16384,16384,1,214,representative lower-edge code for bins 3/1/1/2
220,all_256_states,0,1,49151,58982,16384,32768,1,215,representative lower-edge code for bins 3/1/1/3
221,all_256_states,0,1,49151,58982,32768,0,1,216,representative lower-edge code for bins 3/1/2/0
222,all_256_states,0,1,49151,58982,32768,8192,1,217,representative lower-edge code for bins 3/1/2/1
223,all_256_states,0,1,49151,58982,32768,16384,1,218,representative lower-edge code for bins 3/1/2/2
224,all_256_states,0,1,49151,58982,32768,32768,1,219,representative lower-edge code for bins 3/1/2/3
225,all_256_states,0,1,49151,58982,49151,0,1,220,representative lower-edge code for bins 3/1/3/0
226,all_256_states,0,1,49151,58982,49151,8192,1,221,representative lower-edge code for bins 3/1/3/1
227,all_256_states,0,1,49151,58982,49151,16384,1,222,representative lower-edge code for bins 3/1/3/2
228,all_256_states,0,1,49151,58982,49151,32768,1,223,representative lower-edge code for bins 3/1/3/3
229,all_256_states,0,1,49151,60948,0,0,1,224,representative lower-edge code for bins 3/2/0/0
230,all_256_states,0,1,49151,60948,0,8192,1,225,representative lower-edge code for bins 3/2/0/1
231,all_256_states,0,1,49151,60948,0,16384,1,226,representative lower-edge code for bins 3/2/0/2
232,all_256_states,0,1,49151,60948,0,32768,1,227,representative lower-edge code for bins 3/2/0/3
233,all_256_states,0,1,49151,60948,16384,0,1,228,representative lower-edge code for bins 3/2/1/0
234,all_256_states,0,1,49151,60948,16384,8192,1,229,representative lower-edge code for bins 3/2/1/1
235,all_256_states,0,1,49151,60948,16384,16384,1,230,representative lower-edge code for bins 3/2/1/2
236,all_256_states,0,1,49151,60948,16384,32768,1,231,representative lower-edge code for bins 3/2/1/3
237,all_256_states,0,1,49151,60948,32768,0,1,232,representative lower-edge code for bins 3/2/2/0
238,all_256_states,0,1,49151,60948,32768,8192,1,233,representative lower-edge code for bins 3/2/2/1
239,all_256_states,0,1,49151,60948,32768,16384,1,234,representative lower-edge code for bins 3/2/2/2
240,all_256_states,0,1,49151,60948,32768,32768,1,235,representative lower-edge code for bins 3/2/2/3
241,all_256_states,0,1,49151,60948,49151,0,1,236,representative lower-edge code for bins 3/2/3/0
242,all_256_states,0,1,49151,60948,49151,8192,1,237,representative lower-edge code for bins 3/2/3/1
243,all_256_states,0,1,49151,60948,49151,16384,1,238,representative lower-edge code for bins 3/2/3/2
244,all_256_states,0,1,49151,60948,49151,32768,1,239,representative lower-edge code for bins 3/2/3/3
245,all_256_states,0,1,49151,62914,0,0,1,240,representative lower-edge code for bins 3/3/0/0
246,all_256_states,0,1,49151,62914,0,8192,1,241,representative lower-edge code for bins 3/3/0/1
247,all_256_states,0,1,49151,62914,0,16384,1,242,representative lower-edge code for bins 3/3/0/2
248,all_256_states,0,1,49151,62914,0,32768,1,243,representative lower-edge code for bins 3/3/0/3
249,all_256_states,0,1,49151,62914,16384,0,1,244,representative lower-edge code for bins 3/3/1/0
250,all_256_states,0,1,49151,62914,16384,8192,1,245,representative lower-edge code for bins 3/3/1/1
251,all_256_states,0,1,49151,62914,16384,16384,1,246,representative lower-edge code for bins 3/3/1/2
252,all_256_states,0,1,49151,62914,16384,32768,1,247,representative lower-edge code for bins 3/3/1/3
253,all_256_states,0,1,49151,62914,32768,0,1,248,representative lower-edge code for bins 3/3/2/0
254,all_256_states,0,1,49151,62914,32768,8192,1,249,representative lower-edge code for bins 3/3/2/1
255,all_256_states,0,1,49151,62914,32768,16384,1,250,representative lower-edge code for bins 3/3/2/2
256,all_256_states,0,1,49151,62914,32768,32768,1,251,representative lower-edge code for bins 3/3/2/3
257,all_256_states,0,1,49151,62914,49151,0,1,252,representative lower-edge code for bins 3/3/3/0
258,all_256_states,0,1,49151,62914,49151,8192,1,253,representative lower-edge code for bins 3/3/3/1
259,all_256_states,0,1,49151,62914,49151,16384,1,254,representative lower-edge code for bins 3/3/3/2
260,all_256_states,0,1,49151,62914,49151,32768,1,255,representative lower-edge code for bins 3/3/3/3
261,threshold_below,0,1,16383,0,0,0,1,0,min_key_occupancy threshold 1 code 16384 delta -1
262,threshold_equal,0,1,16384,0,0,0,1,64,min_key_occupancy threshold 1 code 16384 delta 0
263,threshold_above,0,1,16385,0,0,0,1,64,min_key_occupancy threshold 1 code 16384 delta 1
264,threshold_below,0,1,32767,0,0,0,1,64,min_key_occupancy threshold 2 code 32768 delta -1
265,threshold_equal,0,1,32768,0,0,0,1,128,min_key_occupancy threshold 2 code 32768 delta 0
266,threshold_above,0,1,32769,0,0,0,1,128,min_key_occupancy threshold 2 code 32768 delta 1
267,threshold_below,0,1,49150,0,0,0,1,128,min_key_occupancy threshold 3 code 49151 delta -1
268,threshold_equal,0,1,49151,0,0,0,1,192,min_key_occupancy threshold 3 code 49151 delta 0
269,threshold_above,0,1,49152,0,0,0,1,192,min_key_occupancy threshold 3 code 49151 delta 1
270,threshold_below,0,1,0,58981,0,0,1,0,bottleneck_fidelity threshold 1 code 58982 delta -1
271,threshold_equal,0,1,0,58982,0,0,1,16,bottleneck_fidelity threshold 1 code 58982 delta 0
272,threshold_above,0,1,0,58983,0,0,1,16,bottleneck_fidelity threshold 1 code 58982 delta 1
273,threshold_below,0,1,0,60947,0,0,1,16,bottleneck_fidelity threshold 2 code 60948 delta -1
274,threshold_equal,0,1,0,60948,0,0,1,32,bottleneck_fidelity threshold 2 code 60948 delta 0
275,threshold_above,0,1,0,60949,0,0,1,32,bottleneck_fidelity threshold 2 code 60948 delta 1
276,threshold_below,0,1,0,62913,0,0,1,32,bottleneck_fidelity threshold 3 code 62914 delta -1
277,threshold_equal,0,1,0,62914,0,0,1,48,bottleneck_fidelity threshold 3 code 62914 delta 0
278,threshold_above,0,1,0,62915,0,0,1,48,bottleneck_fidelity threshold 3 code 62914 delta 1
279,threshold_below,0,1,0,0,16383,0,1,0,offered_request_load threshold 1 code 16384 delta -1
280,threshold_equal,0,1,0,0,16384,0,1,4,offered_request_load threshold 1 code 16384 delta 0
281,threshold_above,0,1,0,0,16385,0,1,4,offered_request_load threshold 1 code 16384 delta 1
282,threshold_below,0,1,0,0,32767,0,1,4,offered_request_load threshold 2 code 32768 delta -1
283,threshold_equal,0,1,0,0,32768,0,1,8,offered_request_load threshold 2 code 32768 delta 0
284,threshold_above,0,1,0,0,32769,0,1,8,offered_request_load threshold 2 code 32768 delta 1
285,threshold_below,0,1,0,0,49150,0,1,8,offered_request_load threshold 3 code 49151 delta -1
286,threshold_equal,0,1,0,0,49151,0,1,12,offered_request_load threshold 3 code 49151 delta 0
287,threshold_above,0,1,0,0,49152,0,1,12,offered_request_load threshold 3 code 49151 delta 1
288,threshold_below,0,1,0,0,0,8191,1,0,utilization_imbalance threshold 1 code 8192 delta -1
289,threshold_equal,0,1,0,0,0,8192,1,1,utilization_imbalance threshold 1 code 8192 delta 0
290,threshold_above,0,1,0,0,0,8193,1,1,utilization_imbalance threshold 1 code 8192 delta 1
291,threshold_below,0,1,0,0,0,16383,1,1,utilization_imbalance threshold 2 code 16384 delta -1
292,threshold_equal,0,1,0,0,0,16384,1,2,utilization_imbalance threshold 2 code 16384 delta 0
