category,path,bytes,sha256
generated_evidence,results/rl/p2_forced_fixed/h2_regression.json,628,853bc5f5b67a9e65b5f237c54b1a507a1a1b19c5d494cc705e6a13e93cc22cb0
generated_evidence,results/rl/p2_forced_fixed/replay_summary.json,580,5c945ff9b84f9ec6dcc952fb11d6a07ef25e17da3d43449666872684ed6dc6bd
generated_evidence,results/rl/p2_hardware_audit/SHA256SUMS,275,02b52ea391b43af4e346ea8358c667c73c891e95dd30d8bdcafef5888410b780
generated_evidence,results/rl/p2_hardware_audit/hardware_audit_summary.json,726,25c8b30d1f41fb9f3aced24d1b93c7cfc88cb830bfb2b7495a4660ee1b660f2b
generated_evidence,results/rl/p2_hardware_audit/profile_encoding_audit.csv,801,35b35c9aef43b36b99c9587e0f4af53617d55a53f6cd9fa6dc74b5248bc89a21
generated_evidence,results/rl/p2_hardware_audit/route_equivalence.csv,2448,0fa72b67d8ed7bb9c4c71f9f8c379d07f7b7915e8a71eb8b14a134c456a77f64
generated_evidence,results/rl/p2_sensitivity/SHA256SUMS,272,33b88a674542b2ff9bf7df2d4142973cef76751f598845f8c62e528700b41ec2
generated_evidence,results/rl/p2_sensitivity/candidate_ranking.csv,15094,c347029bd9c8791bc6fedefc1f8f9877c7500e703eb9407003c8ed856a0cc5a4
generated_evidence,results/rl/p2_sensitivity/selected_scenario_matrix.csv,1837,dd0ca101e9415b994f29f92d1b867037032f7496bfbcbc0807f00a0d98653af6
generated_evidence,results/rl/p2_sensitivity/selection_summary.json,1371,f39120aa95de7dcf40a6bf39557057cca6457c1da936e76bd50347fbad265855
implementation_source,rl/__init__.py,44,f4f208bb88278e7919013be74b0625154a77f94faee07c5def7509fe64ace545
frozen_configuration,rl/config/mdp_v0.yaml,3903,799cb37a8fd1c819def69801a8d03c762b922a478d717f4991eff91fc02fd078
frozen_configuration,rl/config/profile_codebook_v0.json,2135,a6faf2b8fdb760213fa92ad0f43fa8a3ce812b50e9210a75afac6f5150dd3fa1
implementation_source,rl/forced_fixed_regression.py,8324,e388cbae97ee8570a2e1ab7ccccc18844149dd6275b52f778689967d2bd71867
implementation_source,rl/h2_profile_adapter.py,1524,99ed5e06787a240146f9b18866919e72cbde7886813235e48980705cc0977689
implementation_source,rl/hardware_profile_audit.py,12355,e655e7531d1288f848ba3c0c2513bedbd6359dd9ef57f6d32d7a7545ac37bcbf
implementation_source,rl/mdp_contract.py,9136,ae95ef87bd021f2355529f92ac97dc76da6bbc498538b5680d306fb1220b87bf
implementation_source,rl/p2_exit_gate.py,14031,9bf75838aab8c42f6a5a4c221805228777075f97250e3e8ec7605e75aaf35a46
implementation_source,rl/profile_codebook.py,3123,da3c31cc7386fb94d8f3dd47a92a16030dc107ec93b9ea243223361beed1221f
implementation_source,rl/ring6_environment.py,14902,c10a07078c52dbd43f25adc83858b3be6e81fe5b2ad2d1cc0da0e0113300ef30
implementation_source,rl/route_selector.py,3557,3179532fe2f42eacca93a982caff1ecc4642545614ce2f595a3fb8f7053d1e71
implementation_source,rl/sensitivity_sweep.py,15230,87f2b9a15b052f65824894d3bd409e65d84f65a62d299f24f159810dc2177a9d
implementation_source,rl/trace_generator.py,6115,7f7c848d518eba4a36df9f3dfd0db37f6e4deb9930f10fcb5920a95d3aebaaf1
test_source,sim/rl/test_p2_environment.py,4507,7997bb79e3e5cd2b95e7d474a74e4d5c52bfcc39e9fc3873b2ff0911f7fdcc05
test_source,sim/rl/test_p2_exit_gate.py,4153,38f2eb6fd88a112e0a88896b0c7da0affb06bf6aa651d441c740f49b28a0787b
test_source,sim/rl/test_p2_forced_fixed.py,8114,fa63835c6210d7a743692ffa8749fe7491c829dd1b4cbeebb33f7eb64302f0a5
test_source,sim/rl/test_p2_hardware_profile_audit.py,4056,5545866fdeab8134a9077b2578cbee099c47ec78a1d15ee9e076479e79f27a55
test_source,sim/rl/test_p2_mdp_contract.py,5523,46c5536e9dc0c76c67265190fa97270493e78943f28ea86c9782ae30d0ccc2b6
test_source,sim/rl/test_p2_profile_adapter.py,2565,bd716a87021a3f967666df3ee1baf0e141cdc953b2c4e3d68bacdb7cde92c933
test_source,sim/rl/test_p2_sensitivity.py,3056,407cd33c3c7839937592236e9348aabdb9fac1bee8509d5dbb69b13dfc08e24b
implementation_source,tools/reference_model.py,63001,82d6935240a05b51ef989c4f55b0de26f630d74dcd52bbc88b352a1860db75e2
